source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000534-Sample-1	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00066.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-2	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00068.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-3	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00070.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-4	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00072.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-5	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00074.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-6	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00076.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-7	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00078.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-8	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00080.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-9	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00082.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-10	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00084.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-11	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00086.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-12	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00088.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-13	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00090.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-14	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00092.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-15	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00094.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
PXD000534-Sample-16	homo sapiens	liver	cholangiocellular carcinoma	cholangiocytes	16	not available	between 42 and 78	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Elite	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	8 ppm	-0.264059 ppm	orbitrap	OEI00096.raw	v1.1.0	HAMLET-agentic v0.1.0	cholangiocellular carcinoma
