ID,PXD,Raw Data File,Characteristics[CleavageAgent],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[Time],Characteristics[Temperature],Characteristics[Treatment],FactorValue[Temperature],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[Label],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[NumberOfFractions],Usage
46,PXD016436,LX041-0-1-milk_serum_from_raw_milk.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,4°C,,4°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
47,PXD016436,LX042-0-2-milk_serum_from_raw_milk.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,4°C,,4°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
48,PXD016436,LX043-0-3-milk_serum_from_raw_milk.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,4°C,,4°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
49,PXD016436,LX044-65-1-milk_serum_after_65C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,65°C,Heat treatment,65°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
50,PXD016436,LX045-65-2-milk_serum_after_65C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,65°C,Heat treatment,65°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
51,PXD016436,LX046-65-3-milk_serum_after_65C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,65°C,Heat treatment,65°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
52,PXD016436,LX047-70-1-milk_serum_after_70C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,70°C,Heat treatment,70°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
53,PXD016436,LX048-70-2-milk_serum_after_70C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,70°C,Heat treatment,70°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
54,PXD016436,LX049-70-3-milk_serum_after_70C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,70°C,Heat treatment,70°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
55,PXD016436,LX050-75-1-milk_serum_after_75C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,75°C,Heat treatment,75°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
56,PXD016436,LX051-75-2-milk_serum_after_75C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,75°C,Heat treatment,75°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
57,PXD016436,LX052-75-3-milk_serum_after_75C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,75°C,Heat treatment,75°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
58,PXD016436,LX053-80-1-milk_serum_after_80C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,80°C,Heat treatment,80°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
59,PXD016436,LX054-80-2-milk_serum_after_80C_30min.raw,Trypsin,Milk,Carbamidomethylation of cysteine,Oxidation of methionine,Acetylation of N-ter,De-amidation of Arginine,3,9913 (Bos taurus),DTT,30 min,80°C,Heat treatment,80°C,DDA,500 nL/min,RP-HPLC,CID,0.5 Da,50 min,Thermo LTQ Orbitrap,ESI,Linear trap,2,20 ppm,C-18 reversed phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
