ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CleavageAgent],Characteristics[Compound],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[SamplingTime],Characteristics[Treatment],Characteristics[Time],Characteristics[Temperature],FactorValue[Treatment],Comment[AcquisitionMethod],Comment[CollisionEnergy],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[ReductionReagent],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[NumberOfFractions],Usage
20,PXD062014,HSL_0sec_01_vial01.raw,1,Pepsin,,Label free,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,0 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
21,PXD062014,HSL_0sec_02_vial01.raw,1,Pepsin,,Label free,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,0 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
22,PXD062014,HSL_0sec_03_vial01.raw,1,Pepsin,,Label free,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,0 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
23,PXD062014,HSL_5sec_01_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,5 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
24,PXD062014,HSL_5sec_02_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,5 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
25,PXD062014,HSL_5sec_03_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,5 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
26,PXD062014,HSL_30sec_01_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,30 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
27,PXD062014,HSL_30sec_02_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,30 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
28,PXD062014,HSL_30sec_03_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,30 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
29,PXD062014,HSL_600sec_01_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,600 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
