ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CleavageAgent],Characteristics[Label],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[Treatment],Characteristics[Temperature],Comment[FractionIdentifier],FactorValue[FractionIdentifier],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[MaterialType],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[ReductionReagent],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[NumberOfMissedCleavages],Comment[NumberOfFractions],Comment[PrecursorMassTolerance],Usage
112,PXD064564,20243102_10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,10000 pg,10000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
113,PXD064564,20243102_10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,10000 pg,10000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
114,PXD064564,20243102_10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,10000 pg,10000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
115,PXD064564,20243102_1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,1000 pg,1000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
116,PXD064564,20243102_1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,1000 pg,1000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
117,PXD064564,20243102_1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,1000 pg,1000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
118,PXD064564,20243102_100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,100 pg,100 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
119,PXD064564,20243102_100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,100 pg,100 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
120,PXD064564,20243102_100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,100 pg,100 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
121,PXD064564,20243102_150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,150 pg,150 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
