TERM,REQUIREMENT,TYPE,ONTOLOGY ACCESSION,USAGE (TEMPLATES),VALUES SOURCE,SPECIAL VALUES,DESCRIPTION
age,RECOMMENDED,characteristics,EFO:0000246,human cell-lines,pattern: {Number}{Unit} (Y/M/W/D) 📖,"N/A
N/Av",Age of the donor at sample collection
ancestry category,RECOMMENDED,characteristics,HANCESTRO:0004,human cell-lines,HANCESTRO EFO,"N/A
N/Av",Ancestry or ethnic background of the donor
antibody used,OPTIONAL,comment,to be filled,immunopeptidomics,free text,"N/A
N/Av",Antibody clone used for MHC immunoprecipitation
assay name,REQUIRED,other,NCIT:C178857,minimum ms-proteomics affinity-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,free text,—,"Unique identifier for the assay or sample within a study (e.g. MS run name for mass spectrometry, sample ID from platform data file for affinity proteomics)"
authentication method,OPTIONAL,comment,to be filled,cell-lines,free text,"N/A
N/Av",Method used to authenticate the cell line identity
biological replicate,REQUIRED,characteristics,MS:1001809,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,integer or pooled,—,Identifier for the biological replicate
carrier channel,OPTIONAL,comment,to be filled,single-cell,TMT channel pattern,"N/A
N/Av",TMT channel used for carrier proteome
carrier proteome,OPTIONAL,comment,to be filled,single-cell,"fixed: yes, no, not applicable",N/A,Carrier proteome used in carrier-assisted SCP methods
cell cycle phase,OPTIONAL,characteristics,GO:0022403,single-cell,"fixed: G1, S, G2, M, G0","N/A
N/Av",Cell cycle phase of the isolated cell
cell identifier,RECOMMENDED,characteristics,EFO:0010197,single-cell,free text pattern,—,Unique identifier for the single cell
cell line,REQUIRED,characteristics,CLO:0000031,cell-lines immunopeptidomics,CLO BTO EFO,N/A,Name of the cell line
cell line,OPTIONAL,factor value,CLO:0000031,cell-lines,Cellosaurus free text,—,Factor value indicating cell line is the experimental variable
cell line source,OPTIONAL,comment,to be filled,cell-lines,free text,"N/A
N/Av",Repository or source from which the cell line was obtained
cell number,OPTIONAL,comment,to be filled,immunopeptidomics,scientific notation,"N/A
N/Av",Number of cells used for immunopeptidome extraction
cell type,RECOMMENDED,characteristics,EFO:0000324,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,CL BTO CLO 📖,"N/A
N/Av",Cell type of the sample
cell viability,OPTIONAL,characteristics,to be filled,single-cell,"fixed: live, dead, unknown","N/A
N/Av",Viability status of the cell at isolation
cellosaurus accession,RECOMMENDED,characteristics,to be filled,cell-lines,Cellosaurus (CVCL_XXXX),"N/A
N/Av",Cellosaurus accession number for the cell line
cellosaurus name,OPTIONAL,characteristics,to be filled,cell-lines,Cellosaurus,"N/A
N/Av",Official Cellosaurus name for the cell line
cells per well,RECOMMENDED,comment,to be filled,single-cell,integer,"N/A
N/Av",Number of cells per well/reaction
cleavage agent details,REQUIRED,comment,MS:1001045,minimum ms-proteomics human cell-lines single-cell immunopeptidomics crosslinking metaproteomics dia-acquisition dda-acquisition,MS (PSI-MS) 📖,N/A,Enzyme or chemical used for protein digestion
collection date,OPTIONAL,characteristics,to be filled,metaproteomics,ISO 8601 date,"N/A
N/Av",Date when sample was collected
collision energy,RECOMMENDED,comment,MS:1000045,dia-acquisition dda-acquisition,numeric or stepped 📖,"N/A
N/Av",Collision energy used for fragmentation
compound,OPTIONAL,factor value,CHEBI:37577,ms-proteomics human cell-lines,ChEBI free text,—,Factor value indicating compound/drug treatment is the experimental variable
cross-linker,REQUIRED,comment,to be filled,crosslinking,XLMOD key-value format,—,Cross-linker compound with structured properties
cross-linking method,REQUIRED,comment,to be filled,crosslinking,"fixed: cross-linking mass spectrometry, hydrogen-deuterium exchange, ion-mobility mass spectrometry",—,MS-based cross-linking methodology used
crosslink distance,OPTIONAL,characteristics,to be filled,crosslinking,pattern: number + A,"N/A
N/Av",Maximum distance constraint provided by the crosslinker
