source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001281-Sample-1	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130216_12_qEx_TT_T90_IP_S2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-2	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130222_06_qEx_TT_T90_IP_S2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-3	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130402_06_qEx_TT_T90_IPv2_S2_T5.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-4	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130519_04_qEx_TT_T150_IP_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-5	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130526_11_qEx_TT_T150_IP_II_A80.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-6	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130528_09_qEx_TT_T90_IP_I_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-7	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130910_08_qEx_TT_T90_IP_lysC_IT1s.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-8	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130910_14_qEx_TT_T90_IP_gluC_IT1s.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-9	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130912_04_qEx_TT_T150_IP_lysC_IT1s_T1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001281-Sample-10	Homo sapiens	kidney	not available	kidney cell	HEK293	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HEK293 6His-SUMO2T90K), condition (heat stress 43°C)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	6.1 ppm	9 ppm	chloroacetamide	orbitrap	20130912_09_qEx_TT_T150_IP_gluC_IT1s_T1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
