source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001558-Sample-1	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120229_MLP_333188_ps108TiO2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-2	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120229_MLP_333188_ps110ATiO2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-3	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_333188_Tio2ps109.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-4	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_333188_Tio2ps111.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-5	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_333188_Tio2ps112.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-6	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_333188_Tio2ps113.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-7	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_333188_Tio2ps114.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-8	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_363207_Tio2ps120.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-9	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_363207_Tio2ps121.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-10	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120326_MLP_363207_Tio2ps123.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
