source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001725-Sample-1	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M98_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-2	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M813_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-3	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M787_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-4	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M687_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-5	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M504_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-6	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M35_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-7	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M829_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-8	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M835_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-9	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M813_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-10	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M825_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
