source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002132-Sample-1	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-2	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-3	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-4	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-5	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-6	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-7	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-8	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-9	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
PXD002132-Sample-10	Homo sapiens	oral mucosa	head and neck squamous cell carcinoma, normal	keratinocyte	OKF6/TERT1, JHU-O11, JHU-O22, JHU-O28, JHU-O29, FaDu, CAL 27	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (normal oral keratinocyte, HNSCC cell lines)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	10 ppm	0.05 Da	dithiothreitol	iodoacetamide	orbitrap	HNSCC_TMT_pY1000_01.raw	v1.1.0	HAMLET-agentic v2.1.0	head and neck squamous cell carcinoma, normal
