"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD003977","BiologicalAgent","species","species","Homo sapiens","True"
"PXD003977","BiologicalAgent","tissue","organ","breast","True"
"PXD003977","BiologicalAgent","cell_type","cell_type","epithelial cell","True"
"PXD003977","BiologicalAgent","disease_state","disease","breast carcinoma","True"
"PXD003977","BiologicalAgent","sample_source","material_type","cell line","True"
"PXD003977","BiologicalAgent","age","age","","False"
"PXD003977","BiologicalAgent","anatomic_site_tumor","anatomic_site_tumor","","False"
"PXD003977","BiologicalAgent","BMI","BMI","","False"
"PXD003977","BiologicalAgent","cell_line","cell_line","MCF-7","True"
"PXD003977","BiologicalAgent","sex","sex","","False"
"PXD003977","BiologicalAgent","strain","strain","","False"
"PXD003977","BiologicalAgent","material_type","material_type","cell line","True"
"PXD003977","BiologicalAgent","developmental_stage","developmental_stage","","False"
"PXD003977","TechnicalAgent","acquisition_method","acquisition_method","","False"
"PXD003977","TechnicalAgent","alkylation_reagent","alkylation_reagent","","False"
"PXD003977","TechnicalAgent","alkylation_concentration","alkylation_concentration","","False"
"PXD003977","TechnicalAgent","cleavage_agent","cleavage_agent","","False"
"PXD003977","TechnicalAgent","collision_energy","collision_energy","","False"
"PXD003977","TechnicalAgent","enrichment_method","enrichment_method","","False"
"PXD003977","TechnicalAgent","fractionation_method","fractionation","","False"
"PXD003977","TechnicalAgent","fragmentation_method","fragmentation","","False"
"PXD003977","TechnicalAgent","instrument","instrument","Orbitrap Fusion Lumos","True"
"PXD003977","TechnicalAgent","ionization_type","ionization_type","","False"
"PXD003977","TechnicalAgent","labeling","label","","False"
"PXD003977","TechnicalAgent","reduction_reagent","reduction_reagent","","False"
"PXD003977","TechnicalAgent","reduction_concentration","reduction_concentration","","False"
"PXD003977","ExperimentalDesignAgent","biological_replicate","replicates","1","True"
"PXD003977","ExperimentalDesignAgent","technical_replicate","technical_replicates","3","True"
"PXD003977","ExperimentalDesignAgent","experimental_design","experimental_design","comparison of protease types (trypsin, elastase, mix) and MS acquisition methods (CHOPIN vs Universal Method)","True"
"PXD003977","ExperimentalDesignAgent","factor_value","factor_value","protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)","True"
"PXD003977","ExperimentalDesignAgent","number_of_fractions","fractions","30","True"
"PXD003977","ExperimentalDesignAgent","number_of_technical_replicates","technical_replicates","3","True"
"PXD003977","ExperimentalDesignAgent","number_of_biological_replicates","replicates","1","True"
"PXD003977","ExperimentalDesignAgent","number_of_samples","number_of_samples","1","True"
