source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006195-Sample-1	Escherichia coli	cell culture	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13359.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-2	Escherichia coli	cell culture	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13361.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-3	Escherichia coli	cell culture	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13365.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-4	Escherichia coli	cell culture	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13367.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-5	Escherichia coli	cell culture	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13371.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-6	Escherichia coli	cell culture	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13373.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-7	Escherichia coli	cell culture	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13375.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-8	Escherichia coli	cell culture	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13379.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-9	Escherichia coli	cell culture	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13381.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-10	Escherichia coli	cell culture	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13383.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-11	Escherichia coli	cell culture	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13387.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-12	Escherichia coli	cell culture	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13389.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-13	Escherichia coli	cell culture	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13391.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-14	Escherichia coli	cell culture	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13393.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-15	Escherichia coli	cell culture	not available	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII13395.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-16	Escherichia coli	cell culture	not available	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=collision-induced dissociation;AC=MS:1000133	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII23093.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-17	Escherichia coli	cell culture	not available	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII23095.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-18	Escherichia coli	cell culture	not available	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII23097.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-19	Escherichia coli	cell culture	not available	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=collision-induced dissociation;AC=MS:1000133	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII23099.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-20	Escherichia coli	cell culture	not available	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	not available	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII23105.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD006195-Sample-21	Escherichia coli	cell culture	not available	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=collision-induced dissociation;AC=MS:1000133	growth rate (30, 37, 40°C), protein bait (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	0.5 Da	orbitrap	OEII23111.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
