source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	assay name	comment[fraction identifier]	comment[label]	comment[label]	comment[data file]	comment[associated file uri]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[label]	factor value[temperature]	factor value[growth rate]	factor value[overproduction]	factor value[overproduction]	factor value[induced by]	sampleChecksum	sampleAccession
PXD006195-XLV_30_1	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_30_1	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23091.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23091.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	30	slow	Strep-LpxC	Strep-tag	10 ng Anhydrotetracycline	00254347b77a49b083bc17f3c4519df7ae411d34d3aba28c5ec75b3b9dea75c5	SAMEA7715729
PXD006195-super_silac_30	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_30_1_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23091.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23091.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	30	slow	not applicable	not applicable	not applicable	191e0ec3a2c156405d6aea1cd9f68aca0af6b3b1a69c40692b51a5704d4a868b	SAMEA7715730
PXD006195-XLV_30_2	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_30_2	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23093.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23093.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	30	slow	Strep-LpxC	Strep-tag	10 ng Anhydrotetracycline	802934f58c351d0b0d083365d252d6e337ad7d670a9491237aa35c86d533431e	SAMEA7715731
PXD006195-super_silac_30	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_30_2_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23093.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23093.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	30	slow	not applicable	not applicable	not applicable	191e0ec3a2c156405d6aea1cd9f68aca0af6b3b1a69c40692b51a5704d4a868b	SAMEA7715730
PXD006195-XLV_30_3	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_30_3	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23095.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23095.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	30	slow	Strep-LpxC	Strep-tag	10 ng Anhydrotetracycline	a50d182a34f823d9090929b6f7c378c9a7fc8ba63054b28068e0be0d269f15db	SAMEA7715732
PXD006195-super_silac_30	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_30_3_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23095.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23095.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	37	slow	not applicable	not applicable	not applicable	191e0ec3a2c156405d6aea1cd9f68aca0af6b3b1a69c40692b51a5704d4a868b	SAMEA7715730
PXD006195-XLV_37_1	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_37_1	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23097.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23097.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	37	medium	Strep-LpxC	Strep-tag	25 ng Anhydrotetracycline	d722cd5213df57318f172fd52df09e24fa5e10e4e1bbf27e1fc185b770d00d37	SAMEA7715733
PXD006195-super_silac_37	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_37_1_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23097.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23097.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	37	medium	not applicable	not applicable	not applicable	cd45c1fe07aff9b2a37764276dcaa904ee06d80fc41329a60825ccc087f5dea9	SAMEA7715734
PXD006195-XLV_37_2	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_37_2	1	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	OEII23099.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23099.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC light	37	medium	Strep-LpxC	Strep-tag	25 ng Anhydrotetracycline	b2b2b5e8a5497ead3556f7842ebb9a967c224d44462449ff670755aac46a19e4	SAMEA7715735
PXD006195-super_silac_37	Escherichia coli	AC=PATO:0001728;NT=multi-cellular organismal disposition	cell culture	not available	XLV_37_2_super_silac	1	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	OEII23099.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD006195/OEII23099.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	CID	NT=Trypsin/P;AC=MS:1001313	20 ppm	0.5 Da	NT=Oxidation; MT=variable; PP=Anywhere; AC=Unimod:35; TA=M; MM=15.994915	NT=13C6-15N4;TA=R;AC=UNIMOD:267;MT=variable	NT=13C6-15N2;TA=K;AC=UNIMOD:259;MT=variable	SILAC heavy	37	medium	not applicable	not applicable	not applicable	cd45c1fe07aff9b2a37764276dcaa904ee06d80fc41329a60825ccc087f5dea9	SAMEA7715734
