source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD009602-Sample-1	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 1	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_16_HLA-class_II_CRC_malignant_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-2	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 2	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_11_HLA-class_I_NMT_benign_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-3	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 3	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_21_HLA-class_I_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-4	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 4	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_36_HLA-class_I_NMT_benign_Rep5.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-5	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 5	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_21_HLA-class_II_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-6	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 6	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_17_HLA-class_II_CRC_malignant_R_remnant.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-7	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 7	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_9_HLA-class_II_CRC_malignant_Rep4.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-8	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 8	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_13_HLA-class_I_CRC_malignant_Rep4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-9	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 9	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_15_HLA-class_I_CRC_malignant_R3_remnant.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
PXD009602-Sample-10	Homo sapiens	colon	colorectal carcinoma, normal	malignant cells	104	not available	27-85 years	run 10	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap XL	not available	1	5	not available	tissue type (CRC, NMC)	not available	orbitrap	UPN_14_HLA-class_I_NMT_benign_R1_remnant.RAW	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma, normal
