source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010154-Sample-1	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01753_D05_P018442_S00_N36_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-2	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01321_C01_P013560_B00_N03_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-3	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01076_D05_P010694_S00_N36_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-4	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01092_A01_P010747_S00_N23_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-5	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01347_A01_P013678_S00_N01_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-6	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01698_E03_P018021_S00_N21_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-7	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01284_A02_P013188_B00_N09_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-8	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01076_F01_P010694_S00_N06_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-9	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01087_A03_P010739_S00_N17_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD010154-Sample-10	Homo sapiens	testis	normal	lymphocytes	1	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive Plus, Q Exactive HF, Orbitrap Fusion Lumos Mass Spectrometer	NT=Chymotrypsin;AC=MS:1001306	1	1	not available	tissue (29 healthy human tissues)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	dithiothreitol	chloroacetamide	orbitrap	01306_E02_P013385_S00_N13_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
