source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011050-Sample-1	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR03_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-2	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR03_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-3	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR03_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-4	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-RR03_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-5	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-WT_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-6	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-WT_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-7	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-WT_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-8	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_FASP-WT_05052017.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-9	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_1143_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
PXD011050-Sample-10	H. volcanii	membrane, cytoplasm	mutant, wild-type	planktonic cells, sessile cells	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Glu-C;AC=MS:1001917	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (H53, ΔartA, ΔpssA)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6.3 ppm	10 ppm	orbitrap	350m/z-1600m/z	StS_Hvo_1143_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v0.1.0	mutant, wild-type
