source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012255-Sample-1	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_01.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-2	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_03.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-3	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_04.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-4	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_05.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-5	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_06.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-6	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_07.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-7	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_08.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-8	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_09.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-9	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_10.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-10	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_11.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD012255-Sample-11	Homo sapiens	colon	colorectal carcinoma	epithelial cell	HCT116	not available	1	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	40	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (HCT116)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	Phospho_redissolve_final_12.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
