source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012986-Sample-1	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04026.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-2	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04032.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-3	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04050.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-4	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04036.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-5	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04044.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-6	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04028.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-7	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04034.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-8	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04048.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-9	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04046.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-10	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04038.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD012986-Sample-11	Mus musculus	muscle	not available	myoblast	C2C12	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive HF	NT=Trypsin;AC=MS:1001251	1	3	not available	spike-in concentration (1.25 to 125 nm)	not available	orbitrap	QExHF04030.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
