field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell type]	Biological	54	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	54	54	27	0.5	0.5	0.5
characteristics[organism part]	Biological	54	54	0	0.0	0.0	0.0
characteristics[organism]	Biological	54	54	54	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	54	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	54	0	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	54	54	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	54	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	54	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	54	108	18	0.3333333333333333	0.111111	0.16666666666666666
comment[dissociation method]	Technical	54	54	54	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	54	0	0	0.0	0.0	0.0
comment[instrument]	Technical	54	54	54	1.0	1.0	1.0
comment[label]	Technical	54	54	54	1.0	1.0	1.0
comment[modification parameters]	Technical	0	54	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	54	54	54	1.0	1.0	1.0
comment[precursor mass tolerance]	Technical	54	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	54	0	0	0.0	0.0	0.0
technology type	Technical	54	0	0	0.0	0.0	0.0
