source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013753-Sample-1	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-1.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-2	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-10.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-3	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-11.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-4	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-12.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-5	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-13.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-6	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-14.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-7	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-15.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-8	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-16.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-9	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-17.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
PXD013753-Sample-10	Homo sapiens	superior temporal gyrus, primary visual cortex	alzheimer’s disease, control	synaptoneurosome	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status, APOE genotype (3/3 or 3/4) and brain region (BA41/42 or BA17)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	6 ppm	10 ppm	dithiothreitol	orbitrap	TW-18.raw	v1.1.0	HAMLET-agentic v2.1.0	alzheimer’s disease, control
