"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD014528","BiologicalAgent","species","species","Mus musculus","True"
"PXD014528","BiologicalAgent","tissue","organ","","False"
"PXD014528","BiologicalAgent","cell_type","cell_type","embryonic stem cells","True"
"PXD014528","BiologicalAgent","disease_state","disease","","False"
"PXD014528","BiologicalAgent","sample_source","material_type","E14Tg2a ESCs","True"
"PXD014528","BiologicalAgent","age","age","","False"
"PXD014528","BiologicalAgent","anatomic_site_tumor","anatomic_site_tumor","","False"
"PXD014528","BiologicalAgent","BMI","BMI","","False"
"PXD014528","BiologicalAgent","cell_line","cell_line","E14Tg2a","True"
"PXD014528","BiologicalAgent","sex","sex","","False"
"PXD014528","BiologicalAgent","strain","strain","E14Tg2a","True"
"PXD014528","BiologicalAgent","material_type","material_type","E14Tg2a ESCs","True"
"PXD014528","BiologicalAgent","developmental_stage","developmental_stage","","False"
"PXD014528","TechnicalAgent","acquisition_method","acquisition_method","","False"
"PXD014528","TechnicalAgent","alkylation_reagent","alkylation_reagent","","False"
"PXD014528","TechnicalAgent","alkylation_concentration","alkylation_concentration","","False"
"PXD014528","TechnicalAgent","cleavage_agent","cleavage_agent","","False"
"PXD014528","TechnicalAgent","collision_energy","collision_energy","","False"
"PXD014528","TechnicalAgent","enrichment_method","enrichment_method","","False"
"PXD014528","TechnicalAgent","fractionation_method","fractionation","","False"
"PXD014528","TechnicalAgent","fragmentation_method","fragmentation","","False"
"PXD014528","TechnicalAgent","instrument","instrument","Orbitrap LC-MS (Thermo)","True"
"PXD014528","TechnicalAgent","ionization_type","ionization_type","","False"
"PXD014528","TechnicalAgent","labeling","label","label-free","True"
"PXD014528","TechnicalAgent","reduction_reagent","reduction_reagent","","False"
"PXD014528","TechnicalAgent","reduction_concentration","reduction_concentration","","False"
"PXD014528","ExperimentalDesignAgent","biological_replicate","replicates","biological triplicates | 3","True"
"PXD014528","ExperimentalDesignAgent","technical_replicate","technical_replicates","","False"
"PXD014528","ExperimentalDesignAgent","experimental_design","experimental_design","forward and reverse transition of ESC states (2iL, SL, EPI and time points d1, d3, d7)","True"
"PXD014528","ExperimentalDesignAgent","factor_value","factor_value","ESC state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)","True"
"PXD014528","ExperimentalDesignAgent","number_of_fractions","fractions","1","True"
"PXD014528","ExperimentalDesignAgent","number_of_technical_replicates","technical_replicates","","False"
"PXD014528","ExperimentalDesignAgent","number_of_biological_replicates","replicates","biological triplicates | 3","True"
"PXD014528","ExperimentalDesignAgent","number_of_samples","number_of_samples","33","True"
