Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cultured cell]	Characteristics[age]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	characteristics[disease]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD014528-Sample 1	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	tissue	8fa80233db40bc8f8162f3967dd2de72d9a2a42e71d049da3275f428a88cafe6	SAMEA7717415
PXD014528-Sample 2	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 2	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	tissue	d9f0f8b08724b0db9289fc78d5c7fdc45489edd03263c0fbf263e7826a87a1c6	SAMEA7717416
PXD014528-Sample 2	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 3	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	tissue	d9f0f8b08724b0db9289fc78d5c7fdc45489edd03263c0fbf263e7826a87a1c6	SAMEA7717416
PXD014528-Sample 2	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 4	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	tissue	d9f0f8b08724b0db9289fc78d5c7fdc45489edd03263c0fbf263e7826a87a1c6	SAMEA7717416
PXD014528-Sample 3	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 5	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	tissue	4e1839eecb96dfd528a4bfc8423185af06fc347d7863600bc96ace2151622f53	SAMEA7717417
PXD014528-Sample 3	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 6	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	tissue	4e1839eecb96dfd528a4bfc8423185af06fc347d7863600bc96ace2151622f53	SAMEA7717417
PXD014528-Sample 3	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 7	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	tissue	4e1839eecb96dfd528a4bfc8423185af06fc347d7863600bc96ace2151622f53	SAMEA7717417
PXD014528-Sample 4	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 8	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	tissue	929a726b8daa1ca92edfbe8528ef3f87304e207ddf896abbdbd759c25fc2cc74	SAMEA7717418
PXD014528-Sample 4	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 9	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	tissue	929a726b8daa1ca92edfbe8528ef3f87304e207ddf896abbdbd759c25fc2cc74	SAMEA7717418
PXD014528-Sample 4	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 10	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	tissue	929a726b8daa1ca92edfbe8528ef3f87304e207ddf896abbdbd759c25fc2cc74	SAMEA7717418
PXD014528-Sample 5	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not applicable	not available	not applicable	not applicable	not applicable	run 11	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	tissue	ef2b5d047b83985cd32a42b5dfe3cc3aa5c4f1b9b1d0a4bb4bc79451d3d53cad	SAMEA7717419
