source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD017035-Sample-1	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d10_48_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-2	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d11_24_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-3	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d11_48_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-4	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d12_12_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-5	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d12_48_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-6	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d13_12_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-7	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d13_48_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-8	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d14_12_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-9	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d14_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-10	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d15_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-11	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d1_12_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-12	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d1_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-13	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d1_48_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-14	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d1_48_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-15	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d2_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-16	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d2_48_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-17	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d3_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-18	anaerostipes caccae, bacteroides thetaiotaomicron, bifidobacterium longum, blautia producta, clostridium butyricum, clostridium ramosum, escherichia coli, lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	7 ppm	9 ppm	orbitrap	d4_12_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
