source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD017347-Sample-1	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-2	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-3	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-4	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-5	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-6	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-7	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-8	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-9	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-10	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181030_P0784_MR_CS_IP_1out10_R1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
