source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD018021-Sample-1	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_1.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-2	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_1.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-3	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_1.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-4	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_1.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-5	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_1.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-6	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_1.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-7	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_3.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-8	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_3.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-9	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_3.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
PXD018021-Sample-10	Homo sapiens	brain	epm1, healthy	3	female	40 days of development in culture	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (b-CTRL, UL1)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	10 ppm	0.02 Da	orbitrap	Organoidi_mix_2_0_3ug_uL_3.raw	v1.1.0	HAMLET-agentic v0.1.0	epm1, healthy
