source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[disease]	characteristics[cell line]	characteristics[individual]	characteristics[bait]	characteristics[biological replicate]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[phenotype]	sampleChecksum	sampleAccession
PXD018117-Sample 1	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-002_H11	E	1	run 1	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017144.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017144.raw	cell	SARS-Co-V2 proteins	98f86a2e0d5d78d548ef1d5cd42e539e27de888b6c9631db2373d69e8f287cd4	SAMEA7711946
PXD018117-Sample 2	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-025_F12	E	2	run 2	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017145.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017145.raw	cell	SARS-Co-V2 proteins	d666d16ed1cabf6ec1345b4efd4d2aba03818af98f2a000d749f6b445de02833	SAMEA7711947
PXD018117-Sample 3	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-031_F6	E	3	run 3	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017146.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017146.raw	cell	SARS-Co-V2 proteins	19c5d81089bd0fbe87316b10d5ea9452726e4ff23b301437436cab25ef2216a7	SAMEA7711948
PXD018117-Sample 4	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-004	EGFP	1	run 4	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017084.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017084.raw	cell	Control	4ef4419965d43a95fc32603e862b2dbf0653fda92004c865c77182c277d5b91e	SAMEA7711949
PXD018117-Sample 5	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-005	EGFP	2	run 5	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017098.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017098.raw	cell	Control	05a4cfc6cb2fb925897bec02df28597c4a54c85427965746028781ad609a631b	SAMEA7711950
PXD018117-Sample 6	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-039_E10	EGFP	4	run 6	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017108.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017108.raw	cell	Control	a50e59779bb8eb57d766389992e38fd4820fc4a59a33fd77351ae08bf87fd9eb	SAMEA7711951
PXD018117-Sample 7	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-013_G12	EGFP	5	run 7	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017142.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017142.raw	cell	Control	55e33a74a3a3db43f64a70db0a895c66666ddec53470579674c6c43248810bdf	SAMEA7711952
PXD018117-Sample 8	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-001	EV	1	run 8	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017077.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017077.raw	cell	Control	5d20dbaae4d54a6b95e7aa1b422181193f3065601f708b343057de85684a41f2	SAMEA7711953
PXD018117-Sample 9	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-002	EV	2	run 9	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017078.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017078.raw	cell	Control	0673ffc40f996a05caae6e3e0bd472674c620c490c6eb630a0051eaa09d3e629	SAMEA7711954
PXD018117-Sample 10	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-027_F10	EV	4	run 10	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017118.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017118.raw	cell	Control	d3195ddce4f408cf93c779493600971716a00dd2260de4eb984f51c5e09d1a20	SAMEA7711955
PXD018117-Sample 11	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-014_G11	EV	5	run 11	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017132.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017132.raw	cell	Control	ba1488f170b13a61a99acfe04d2b0b02d4e9a2f13c319686bd041a82212eec5e	SAMEA7711956
PXD018117-Sample 12	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-003	EV	3	run 12	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017158.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017158.raw	cell	Control	d17d1d0f938d5f803b467e5d2953d39e60aa4ce5d4f57c29fec94438eacde432	SAMEA7711957
PXD018117-Sample 13	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV03-001	EV	6	run 13	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017184.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017184.raw	cell	Control	42cacf0b583fe46ef5d8e1b8441f18ba1f841877da64ce01518eb81ef73ce12c	SAMEA7711958
PXD018117-Sample 14	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV03-002	EV	7	run 14	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017208.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017208.raw	cell	Control	18d4e3e5c6da8bc9c63afd4553eb5fe68a18cba2f27dcb08e6077584bb8d1709	SAMEA7711959
PXD018117-Sample 15	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-003_H10	M	1	run 15	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017138.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017138.raw	cell	SARS-Co-V2 proteins	fd4f018ca42085ce6e968f8cbb8f9c39823bba31f020979a7a5cd5864e865fae	SAMEA7711960
PXD018117-Sample 16	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-024_G1	M	2	run 16	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017139.raw	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017139.raw	cell	SARS-Co-V2 proteins	cb709ba0a0b871f7982d072013d09859646b26fa7f14c728b89202e9a1629d97	SAMEA7711961
