source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD020187-Sample-1	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	D1_Nat_1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-2	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	D2_Nat_2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-3	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	D3_Nat_3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-4	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	D4_Nat_4.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-5	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	D5_Nat_5.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-6	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	E1_Dec_1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-7	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	E2_Dec_2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-8	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	E3_Dec_3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-9	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	E4_Dec_4.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD020187-Sample-10	Homo sapiens	umbilical arteries	not available	10	not available	38–40 weeks	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	decellularization status (native, decellularized)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.05 Da	iodoacetamide	orbitrap	E5_Dec_5.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
