source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021874-Sample-1	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 1	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190321_StS_H53_Cyt_GluC_stepped.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-2	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 2	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190321_StS_H53_Cyt_Try_stepped.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-3	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 3	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190321_StS_H53_Mem_GluC_stepped.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-4	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 4	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_Agl15_Mem_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-5	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 5	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_Agl15_SN_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-6	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 6	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_AglB_Cyt_Try_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-7	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 7	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_AglB_Mem_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-8	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 8	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_AglB_Mem_Try_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-9	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 9	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_H53_Cyt_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-10	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 10	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190604_StS_H53_Cyt_Try_Rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-11	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 11	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_Agl15_Cyt_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-12	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 12	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_Agl15_Mem_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-13	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 13	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_Agl15_Mem_Try_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-14	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 14	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_Agl15_SN_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
