source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD039035-Sample-1	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-2	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-3	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-4	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-5	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-6	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-7	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-8	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-9	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD039035-Sample-10	Mus musculus	bone marrow	normal	DCs	not available	female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDCs, nsDCs)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=Variable;TA=C	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=Variable;TA=K	800 ppm	0.02 Da	dithiothreitol	orbitrap	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
