"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD040176","Biological","cell_line","cell_line","mS49, mS63, mL46, mL76, wild-type, mtPrA","True"
"PXD040176","Biological","organ","organ","mitochondria","True"
"PXD040176","Biological","species","species","diplonema papillatum","True"
"PXD040176","ExperimentalDesign","factor_value","factor_value","bait protein (mS49, mS63, mL46, mL76, wild-type, mtPrA) and purification method (IP, AP)","True"
"PXD040176","ExperimentalDesign","fractions","fractions","1","True"
"PXD040176","ExperimentalDesign","replicates","replicates","35","True"
"PXD040176","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD040176","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD040176","Technical","instrument","instrument","Orbitrap Fusion","True"
"PXD040176","Technical","label","label","TMTpro126C","True"
"PXD040176","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD040176","Technical","precursor_mass_tolerance","precursor_mass_tolerance","6 ppm","True"
