sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD041782-Sample-1	source_name	source name	PXD041782-Sample-1	derived								legacy_derivation	derived
1	PXD041782-Sample-1	organism	characteristics[organism]	Homo sapiens, Mus musculus	biological_agent	protein expression profiles were compared between CRTAC1-overexpressing cells and vector control cells using iTRAQ quantitative proteomics after cisplatin treatment	AGREE	1.0	medium	False	False	Homo sapiens, Mus musculus	source_precedence:biological_agent	derived
1	PXD041782-Sample-1	organism_part	characteristics[organism part]	lung	biological_agent	protein expression profiles were compared between CRTAC1-overexpressing cells and vector control cells using iTRAQ quantitative proteomics after cisplatin treatment	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD041782-Sample-1	disease	characteristics[disease]	non-small cell lung cancer	biological_agent	protein expression profiles were compared between CRTAC1-overexpressing cells and vector control cells using iTRAQ quantitative proteomics after cisplatin treatment	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD041782-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	protein expression profiles were compared between CRTAC1-overexpressing cells and vector control cells using iTRAQ quantitative proteomics after cisplatin treatment	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD041782-Sample-1	cell_line	characteristics[cell line]	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	biological_agent	the ectopic expression of CRTAC1 inhibited Akt1 expression in H1299 and HCC827 cells upon cisplatin treatment	LLM_ONLY	0.5	medium	False	False	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	source_precedence:biological_agent	derived
1	PXD041782-Sample-1	biological_replicate	characteristics[biological replicate]	4	experimental_design_agent	VA086LQ_Vec_CDDP.raw, VA086LQ_Vec.raw, VA086LQ_OE.raw, VA086LQ_OE_CDDP.raw	LLM_ONLY	0.5					source_precedence:experimental_design_agent	derived
1	PXD041782-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD041782-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD041782-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD041782-Sample-1	label	comment[label]	iTRAQ114	technical_agent				high	False	False		source_precedence:technical_agent	derived
1	PXD041782-Sample-1	instrument	comment[instrument]	NT=Orbitrap Exploris 480;AC=MS:1003028	runassessor								source_precedence:runassessor	derived
1	PXD041782-Sample-1	fraction_identifier	comment[fraction identifier]	1	experimental_design_agent		LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD041782-Sample-1	technical_replicate	comment[technical replicate]	1	derived								fallback	not_assessed
1	PXD041782-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
1	PXD041782-Sample-1	factor_value	factor value[experimental design]	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	experimental_design_agent	protein expression profiles were compared between CRTAC1-overexpressing cells and vector control cells using iTRAQ quantitative proteomics after cisplatin treatment.	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD041782-Sample-1	modification	comment[modification parameters]	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	derived								legacy_derivation	derived
1	PXD041782-Sample-1	modification	comment[modification parameters]	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	derived								legacy_derivation	derived
1	PXD041782-Sample-1	modification	comment[modification parameters]	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	derived								legacy_derivation	derived
1	PXD041782-Sample-1	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	derived								legacy_derivation	derived
1	PXD041782-Sample-1	precursor_tolerance	comment[precursor mass tolerance]	7 ppm	derived								legacy_derivation	derived
1	PXD041782-Sample-1	fragment_tolerance	comment[fragment mass tolerance]	8 ppm	derived								legacy_derivation	derived
1	PXD041782-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD041782-Sample-1	data_file	comment[data file]	VA086LQ_OE.raw	derived								legacy_derivation	derived
1	PXD041782-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD041782-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v0.1.0	derived								legacy_derivation	derived
1	PXD041782-Sample-1	factor_disease	factor value[disease]	non-small cell lung cancer	derived								legacy_derivation	derived
2	PXD041782-Sample-2	source_name	source name	PXD041782-Sample-2	derived								legacy_derivation	derived
