"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD051371","","strict","Biological","age","age","1-day-old, eight-week-old, postnatal day 56","True"
"PXD051371","","strict","Biological","cell_line","cell_line","HEK-293T, AC16","True"
"PXD051371","","strict","Biological","cell_type","cell_type","cardiomyocytes","True"
"PXD051371","","strict","Biological","disease","disease","cardiovascular system disease","True"
"PXD051371","","strict","Biological","organ","organ","heart","True"
"PXD051371","","strict","Biological","species","species","Mus musculus, Homo sapiens","True"
"PXD051371","","strict","ExperimentalDesign","factor_value","factor_value","expression level (NC, OE), pull-down target (NLRC5, IgG) | cardiovascular system disease","True"
"PXD051371","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD051371","","strict","ExperimentalDesign","replicates","replicates","1","True"
"PXD051371","","strict","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD051371","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD051371","","strict","Technical","fragment_mass_tolerance","fragment_mass_tolerance","9 ppm","True"
"PXD051371","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD051371","","strict","Technical","instrument","instrument","Q Exactive Plus","True"
"PXD051371","","strict","Technical","label","label","label free","True"
"PXD051371","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD051371","","strict","Technical","modification","modification","Oxidation (M) | Formylation (K) | not applicable","True"
"PXD051371","","strict","Technical","precursor_mass_tolerance","precursor_mass_tolerance","6 ppm","True"
