"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD054439","","strict","Biological","cell_type","cell_type","trophozoites","True"
"PXD054439","","strict","Biological","disease","disease","giardiasis, glv infection","True"
"PXD054439","","strict","Biological","species","species","Giardia duodenalis, Mus musculus","True"
"PXD054439","","strict","ExperimentalDesign","factor_value","factor_value","condition (Giardia+GLV EVs) | giardiasis, glv infection","True"
"PXD054439","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD054439","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD054439","","strict","Technical","instrument","instrument","Orbitrap Exploris 480","True"
"PXD054439","","strict","Technical","label","label","label free","True"
"PXD054439","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD054439","","strict","Technical","modification","modification","Iodoacetamide derivative (CDEHKMSTUY,N-term) | ubiquitinylation residue (CKST) | Oxidation or Hydroxylation (CDEFHIKLMNPQRSTUVWY,C-term)","True"
