accession,pubmed_id,pmc_id,raw_file_count,organism,experiment_types,Reannotated,Reannotation_QC
PXD024642,34785650.0,PMC8595342,1,Homo sapiens (human),Gel-based experiment,True,False
PXD005473,28380054.0,PMC5397071,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD032713,35985817.0,PMC9528326,1,Homo sapiens (human),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD033991,35800753.0,PMC9253728,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD014057,35807503.0,PMC9268043,1,Bacillus amyloliquefaciens,Shotgun proteomics,True,False
PXD038767,37149634.0,PMC10164148,1,Drosophila melanogaster (fruit fly),Shotgun proteomics,True,False
PXD028479,35921411.0,PMC9348797,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD028480,35921411.0,PMC9348797,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD015854,32555370.0,PMC7685984,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD025505,34453168.0,PMC8575027,1,Human gut metagenome,Shotgun proteomics,True,False
PXD025617,34107032.0,PMC8216281,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD037920,36547361.0,PMC9777629,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD017716,33024055.0,PMC7732273,1,'phaseolus vulgaris' phytoplasma,Shotgun proteomics,True,False
PXD005633,27881664.0,PMC5231896,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD054007,40764949.0,PMC12326663,1,Solanum lycopersicum,Gel-based experiment,True,False
PXD063222,40472843.0,PMC12335357,1,Homo sapiens (human),Gel-based experiment,True,False
PXD018778,32572646.0,PMC7310055,1,Oryza sativa (rice),Shotgun proteomics,True,False
PXD005575,28165461.0,PMC5303882,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD012231,32469046.0,PMC7298129,1,Bos taurus (bovine),Shotgun proteomics,True,False
PXD039007,36769339.0,PMC9917977,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD032821,35613060.0,PMC9178559,1,Drosophila melanogaster (fruit fly); Escherichia coli; Mus musculus (mouse),Shotgun proteomics,True,False
PXD050647,39074261.0,PMC11285871,1,Homo sapiens (human),Data-dependent acquisition,False,False
PXD051024,38848214.0,PMC11233987,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD050812,38956386.0,PMC11219742,1,Lepeophtheirus salmonis salmonis,Bottom-up proteomics,True,False
PXD064363,41390689.0,PMC12815959,1,Mus musculus (mouse),Top-down proteomics,True,False
PXD036242,37450577.0,PMC10549198,1,Mus musculus (mouse),Gel-based experiment,True,False
PXD017524,32268273.0,PMC7191261,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD016858,33762013.0,PMC7992965,1,Polaribacter marinivivus,Top-down proteomics,True,False
PXD001680,25699542.0,PMC4358660,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD053103,39753558.0,PMC11698992,1,Sulfolobus solfataricus,Bottom-up proteomics,True,False
PXD040611,37175769.0,PMC10179141,1,Nigella sativa,Top-down proteomics,True,False
PXD041996,37253723.0,PMC10229537,1,Arabidopsis thaliana (mouse-ear cress),Shotgun proteomics,True,False
PXD011556,32169940.0,PMC7205485,1,Lactobacillus acidophilus,mass spectrometry imaging; Gel-based experiment,True,False
PXD017332,32060285.0,PMC7021698,1,Homo sapiens (human),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD013445,32398747.0,PMC7217962,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD037059,36413498.0,PMC9860323,1,Legionella pneumophila; Legionella pneumophila,Affinity purification coupled with mass spectrometry proteomics,True,False
PXD034893,36412553.0,PMC9793978,1,Escherichia coli; Homo sapiens (human),Gel-based experiment,True,False
PXD042319,41165044.0,PMC12572951,1,Mus musculus (mouse),SWATH MS,True,False
PXD042218,37437887.0,PMC10406618,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD042397,37605006.0,PMC10482945,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD059156,39411161.0,PMC11476008,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD023753,34315806.0,PMC8522579,1,Escherichia coli; Mus musculus (mouse),Shotgun proteomics,False,False
PXD039464,36979766.0,PMC10045871,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD069172,41719311.0,PMC12923008,1,Anabaena sp. bta17,Bottom-up proteomics; Data-dependent acquisition,True,False
PXD071719,41720104.0,PMC12923992,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD017383,32165637.0,PMC7067836,1,Xenopus laevis (african clawed frog),Top-down proteomics; Shotgun proteomics,True,False
PXD016146,31403280.0,PMC6751525,1,Rattus norvegicus (rat),mass spectrometry imaging,True,False
PXD015389,31628314.0,PMC6800425,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD065766,41634932.0,PMC12930091,1,Homo sapiens (human),Bottom-up proteomics; Data-dependent acquisition,True,False
PXD026445,34758830.0,PMC8580364,1,Enterococcus faecalis (streptococcus faecalis),Shotgun proteomics,True,False
PXD017020,32066963.0,PMC7067600,1,Gallus gallus (chicken),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD061060,40251448.0,PMC12055588,1,Homo sapiens (human),Gel-based experiment,True,False
PXD031095,35931119.0,PMC9436821,1,Homo sapiens (human),Gel-based experiment,True,False
PXD031429,35941390.0,PMC9463248,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD035586,36899022.0,PMC10006232,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD007036,37072500.0,PMC10113393,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD035715,36081788.0,PMC9445554,1,Homo sapiens (human),Gel-based experiment,True,False
PXD042222,38341452.0,PMC10858868,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD002691,26739245.0,PMC4703981,1,Entamoeba histolytica hm-1:imss-a,Shotgun proteomics,True,False
PXD035320,36142717.0,PMC9500918,1,Chaetomium thermophilum (strain dsm 1495 / cbs 144.50 / imi 039719),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD016518,31847183.0,PMC6940942,1,Homo sapiens (human),Shotgun proteomics; Gel-based experiment,True,False
PXD016917,32001717.0,PMC6992704,1,Mus musculus (mouse),Gel-based experiment,False,False
PXD001340,25372051.0,PMC4579097,1,Rattus norvegicus (rat),Shotgun proteomics,True,False
PXD073844,41757349.0,PMC12932526,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD032154,40033384.0,PMC11874433,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD019861,33803797.0,PMC8003167,1,Ustilaginoidea virens,Shotgun proteomics,True,False
PXD007753,30082797.0,PMC6078960,1,Arabidopsis thaliana (mouse-ear cress),Shotgun proteomics,True,False
PXD044548,39558163.0,PMC11662663,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD040218,37845672.0,PMC10577913,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD016814,32284882.0,PMC7142147,1,Mycoplasma pneumoniae 19294,Shotgun proteomics,True,False
PXD033055,36560896.0,PMC10031812,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD014105,31324785.0,PMC6642173,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD017847,33060577.0,PMC7567890,1,Brassica oleracea var. botrytis (cauliflower),Shotgun proteomics,True,False
PXD016283,35697730.0,PMC9663168,1,Arabidopsis thaliana (mouse-ear cress),Shotgun proteomics,True,False
PXD042575,39798878.0,PMC11870265,1,Rattus norvegicus (rat); Homo sapiens (human),Shotgun proteomics,True,False
PXD047871,39975173.0,PMC11838427,1,Ancylostoma ceylanicum,Bottom-up proteomics,True,False
PXD047879,39975173.0,PMC11838427,1,Ancylostoma ceylanicum,Bottom-up proteomics,True,False
