group,n_mods_in_group,n_pxds_observed,n_pxds_unique,weighted_mean_fraction,total_peptides_with_mod
Cys alkylation,16,1241,1137,0.06429247603645988,17960479
Oxidation,10,518,469,0.04548853198887345,7748666
Deamidation,1,388,388,0.10953843261074457,4201201
TMT/isobaric labels,13,215,180,0.38013720181818184,9092733
Acetylation/amidation,6,176,167,0.06056225327510916,1063192
Amino acid substitutions,8,132,130,0.15101560285714283,641110
Carbamylation,1,81,81,0.05898364957264958,999263
Ubiquitination (GlyGly),2,63,62,0.08084255688622753,587978
Phosphorylation,2,73,61,0.06229413775510204,1130791
Methylation,7,66,58,0.08262868341708542,1247709
Crosslinkers/affinity,20,51,49,0.1682460076335878,373962
Other isotope labels,11,50,49,0.10076720408163266,615133
Dehydration/Pyro-Glu,3,36,36,0.008662638554216867,43445
Metal adducts,8,36,33,0.05850590322580645,221728
SILAC labels,9,24,21,0.27132146969696974,406049
Lipid adducts,10,19,19,0.18568177777777778,95445
Organophosphorus adducts,7,8,8,0.06474772727272726,36384
Glycosylation,5,6,6,0.10961256250000001,16537
Nitrosylation/sulfonation,4,6,6,0.15055115384615386,64355
Miscellaneous rare,81,447,388,0.15378717159277505,3754114
