pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD004682	20150912_Haura-Pilot_N0294_bRPLC01-1.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0294_bRPLC01-1.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0294_bRPLC01-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0294_bRPLC07-2.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0294_bRPLC07-2.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0294_bRPLC07-2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0294_bRPLC08-2.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0294_bRPLC08-2.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0294_bRPLC08-2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0295_bRPLC01-1.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0295_bRPLC01-1.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0295_bRPLC01-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0295_bRPLC03-2.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0295_bRPLC03-2.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0295_bRPLC03-2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0295_bRPLC07-1.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0295_bRPLC07-1.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0295_bRPLC07-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0295_bRPLC09-1.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0295_bRPLC09-1.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0295_bRPLC09-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004682	20150912_Haura-Pilot_N0296_bRPLC01-1.raw	Biological	3	4	1	2	3	0.333333	0.250000	0.285714
PXD004682	20150912_Haura-Pilot_N0296_bRPLC01-1.raw	Technical	8	5	2	6	3	0.250000	0.400000	0.307692
PXD004682	20150912_Haura-Pilot_N0296_bRPLC01-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
