pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC01-1.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC01-1.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC01-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC01-2.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC01-2.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC01-2.raw	ExperimentalDesign	5	2	1	4	1	0.200000	0.500000	0.285714
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC02-1.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC02-1.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC02-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC02-2.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC02-2.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC02-2.raw	ExperimentalDesign	5	2	1	4	1	0.200000	0.500000	0.285714
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC03-1.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC03-1.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC03-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC03-2.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC03-2.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC03-2.raw	ExperimentalDesign	5	2	1	4	1	0.200000	0.500000	0.285714
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC04-1.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC04-1.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC04-1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC04-2.raw	Biological	3	4	3	0	1	1.000000	0.750000	0.857143
PXD004683	20150820_Haura-Pilot-TMT1-bRPLC04-2.raw	Technical	13	10	6	7	4	0.461538	0.600000	0.521739
