pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S013_14.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S013_14.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S013_14.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S015.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S015.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S015.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S02_12.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S03_4_5_6.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S07_8.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131114_CCS_EV_A375_RAFi_30min_S09_10_11.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S013_14_131122203229.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20131116_CCs_EV_A375_ERKi_30min_S015_131123012154.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
