field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	168	334	168	1.0	0.5059523809523809	0.67063525
characteristics[organism part]	Biological	168	168	0	0.0	0.0	0.0
characteristics[organism]	Biological	168	168	168	1.0	1.0	1.0
characteristics[sex]	Biological	0	192	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	168	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	168	178	7	0.041666666666666664	0.041666666666666664	0.041666666666666664
comment[technical replicate]	ExperimentalDesign	168	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	168	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	168	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	168	168	168	1.0	1.0	1.0
comment[dissociation method]	Technical	168	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	168	0	0	0.0	0.0	0.0
comment[instrument]	Technical	168	168	168	1.0	1.0	1.0
comment[label]	Technical	1008	998	998	0.9900793690476191	1.0	0.9914965952380952
comment[modification parameters]	Technical	168	0	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	168	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	168	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	168	0	0	0.0	0.0	0.0
technology type	Technical	168	0	0	0.0	0.0	0.0
