Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[infect]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[enrichment process]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[enrichment process]	factor value[proteomics data acquisition method]	sampleChecksum	sampleAccession
PXD019113-Sample 1	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 1	LP1_03_AB_DDA_142.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_03_AB_DDA_142.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	ef26de3e4f1fc204ce1a35bda3677ce1a8f799f39e0d73c5c5f770aa71332247	SAMEA7712667
PXD019113-Sample 2	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 2	LP1_04_AB_DDA_142.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_04_AB_DDA_142.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	380bcb9244e65cc879b57651e2fbd5bb19435b73e100e225cfccee4da97b73d6	SAMEA7712669
PXD019113-Sample 3	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 3	LP1_08_AB_DDA_146.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_08_AB_DDA_146.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	c3847f75af35b1e8412c4f553f23ff048b3fd1714c634ac0e82a5ba9c995e155	SAMEA7712670
PXD019113-Sample 4	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 4	LP1_10_AB_DDA_150.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_10_AB_DDA_150.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	408ce100139156c112a66a40452cb2941a509b7fa7311a5c1cfeebc4e478a6e2	SAMEA7712671
PXD019113-Sample 5	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 5	LP1_13_AB_DDA_154.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_13_AB_DDA_154.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	b2f041872942e1098ed385dce99dcef83ef9f552df991583fa849422b5a5a24e	SAMEA7712672
PXD019113-Sample 6	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 6	LP1_18_AB_DDA_158.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_18_AB_DDA_158.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	25dc8cb56ee8b919fa364f221aa1754dadf7231f485e8bcc1daf7461fdfa24eb	SAMEA7712673
PXD019113-Sample 7	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 7	LP1_19_AB_DDA_162.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_19_AB_DDA_162.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	ec19bb927f467a7fdb1c96ec353e729b25dca5e28d6618e92a2283ee2f8f3be0	SAMEA7712674
PXD019113-Sample 8	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	run 8	LP1_23_AB_DDA_166.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_23_AB_DDA_166.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785	a34d89b34be9fdbf39b5ae088cac1a9a08cddee18193410372e85110222c8103	SAMEA7712675
PXD019113-Sample 9	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	1	no enrichment	run 9	LP1_01_AB_DIA_139.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_01_AB_DIA_139.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	b77cc2697b409c1074273baca020c46374c910d8d7a55d3cf89a1fcd407512b6	SAMEA7712676
PXD019113-Sample 10	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	2	no enrichment	run 10	LP1_02_AB_DIA_140.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_02_AB_DIA_140.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	cell	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786	0323cb0c5cc1a2cb326f13e16eb7780eafac3f2185d7236c5e2d2815bbba5d75	SAMEA7712677
