pxd	characteristics[age]	characteristics[enrichment process]	comment[alkylation reagent]	comment[reduction reagent]	factor value[experimental design]	factor value[disease]	comment[proteomics data acquisition method]	comment[cleavage agent details]	characteristics[biological replicate]	comment[fragment mass tolerance]	technology type	characteristics[sex]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	characteristics[cell line]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[fraction identifier]	comment[label]	comment[instrument]	characteristics[organism]
PXD000534	1.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.250000	NA	1.000000	1.000000	1.000000	1.000000
PXD000561	1.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD000651	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.800000	NA	1.000000	1.000000	1.000000	1.000000
PXD000652	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.900000	NA	1.000000	1.000000	1.000000	1.000000
PXD001558	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.965517	NA	1.000000	0.000000	1.000000	1.000000
PXD001819	0.000000	NA	NA	NA	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	1.000000	0.000000	0.000000	1.000000	0.884615	NA	1.000000	1.000000	1.000000	1.000000
PXD002029	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002049	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000	0.966667	NA	1.000000	0.000000	1.000000	1.000000
PXD002080	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.866667	NA	1.000000	1.000000	1.000000	1.000000
PXD002081	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.933333	NA	1.000000	0.000000	1.000000	1.000000
PXD002082	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.900000	NA	1.000000	1.000000	1.000000	1.000000
PXD002084	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.900000	NA	1.000000	1.000000	1.000000	1.000000
PXD002086	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.866667	NA	1.000000	1.000000	1.000000	1.000000
PXD002087	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.966667	NA	1.000000	0.000000	1.000000	1.000000
PXD002088	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.933333	NA	1.000000	0.000000	1.000000	1.000000
PXD002395	0.000000	NA	NA	NA	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002619	0.000000	NA	NA	NA	1.000000	1.000000	0.766667	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002870	1.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.033333	NA	1.000000	0.000000	1.000000	1.000000
PXD003531	1.000000	NA	NA	NA	1.000000	1.000000	0.400000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD003668	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD003977	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.333333	NA	1.000000	0.000000	1.000000	1.000000
PXD004143	1.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004242	1.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004682	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004683	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000
PXD004684	0.000000	NA	NA	NA	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004987	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000
PXD005354	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD005355	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD005445	1.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD005463	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD006003	0.000000	NA	NA	NA	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD006195	0.000000	NA	NA	NA	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	NA	0.000000	0.000000	1.000000	0.321429	NA	1.000000	0.000000	1.000000	1.000000
