pxd	characteristics[age]	characteristics[enrichment process]	comment[alkylation reagent]	comment[reduction reagent]	factor value[experimental design]	factor value[disease]	comment[proteomics data acquisition method]	comment[cleavage agent details]	characteristics[biological replicate]	comment[fragment mass tolerance]	technology type	characteristics[sex]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	characteristics[cell line]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[fraction identifier]	comment[label]	comment[instrument]	characteristics[organism]
PXD000534	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	0.000000	0.500000	0.000000	0.250000	NA	1.000000	0.000000	0.000000	1.000000
PXD000561	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.000000	0.066667	0.000000	0.000000	1.000000	NA	0.066667	1.000000	0.000000	1.000000
PXD000651	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	0.000000	1.000000	0.800000	NA	0.033333	0.000000	1.000000	1.000000
PXD000652	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	0.000000	1.000000	0.900000	NA	0.000000	0.000000	1.000000	1.000000
PXD001558	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	1.000000
PXD001819	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	0.000000	0.000000	0.000000	0.346154	0.000000	NA	1.000000	0.000000	1.000000	1.000000
PXD002029	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	0.000000	0.000000	0.000000	NA	0.260870	1.000000	1.000000	1.000000
PXD002049	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD002080	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.866667	NA	0.033333	0.000000	1.000000	1.000000
PXD002081	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.933333	NA	0.066667	0.000000	1.000000	1.000000
