pxd	characteristics[age]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[technical replicate]	factor value[disease]	factor value[experimental design]	technology type	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[sex]	characteristics[cell type]	comment[ms2 mass analyzer]	characteristics[biological replicate]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	comment[fraction identifier]	comment[dissociation method]	comment[label]	comment[instrument]	characteristics[organism]
PXD000534	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	0.500000	0.000000	0.000000	1.000000	1.000000	0.000000
PXD000561	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.933333	NA	1.000000	0.933333	0.000000	0.000000	1.000000	0.000000
PXD000651	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	1.000000	0.966667	0.000000	1.000000	0.000000	0.000000
PXD000652	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000
PXD001558	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.965517	0.000000	1.000000	0.000000
PXD001819	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	NA	0.000000	0.000000	0.884615	1.000000	0.000000	0.000000
PXD002029	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	0.000000	NA	1.000000	0.739130	1.000000	0.000000	0.000000	0.000000
PXD002049	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	NA	1.000000	0.933333	0.966667	0.000000	0.000000	0.000000
PXD002080	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.966667	0.000000	1.000000	0.000000	0.000000
PXD002081	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.933333	0.000000	0.000000	0.000000	0.000000
PXD002082	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.966667	0.000000	1.000000	0.000000	0.000000
PXD002084	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.933333	0.000000	1.000000	0.000000	0.000000
PXD002086	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.933333	0.000000	1.000000	0.000000	0.000000
PXD002087	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.933333	0.000000	0.000000	0.000000	0.000000
PXD002088	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	NA	1.000000	0.966667	0.000000	0.000000	0.000000	0.000000
PXD002395	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.300000	1.000000	0.000000	0.800000	1.000000	1.000000	1.000000	0.766667	0.000000	0.000000	0.000000	0.000000
PXD002870	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	0.000000	NA	1.000000	0.933333	0.033333	0.000000	0.000000	0.000000
PXD003531	1.000000	0.000000	0.400000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.600000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD003668	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.733333	1.000000	0.933333	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000
PXD003977	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.333333	0.000000	0.000000	0.000000
PXD004143	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	0.000000	NA	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000
PXD004242	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD004682	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	NA	0.466667	0.966667	1.000000	0.000000	0.000000	0.000000
PXD004683	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	0.000000	NA	0.000000	0.933333	1.000000	0.000000	0.000000	0.000000
PXD004684	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	NA	0.533333	1.000000	1.000000	0.000000	0.000000	0.000000
PXD004987	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	NA	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
PXD005354	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.900000	0.000000	0.000000	1.000000	0.000000
PXD005355	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000
PXD005445	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	0.000000	1.000000	0.066667	NA	1.000000	0.966667	0.000000	0.000000	0.000000	0.000000
PXD005463	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000
PXD006003	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.800000	1.000000	0.366667	0.000000	0.000000
PXD006195	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD006233	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000
PXD006401	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.571429	NA	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000
PXD006675	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.793103	0.000000	NA	1.000000	0.965517	1.000000	0.000000	0.000000	0.000000
PXD007555	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	0.000000	NA	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000
PXD008722	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	0.866667	0.000000	NA	1.000000	0.833333	1.000000	0.000000	0.000000	0.000000
PXD008840	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	NA	1.000000	0.833333	0.000000	0.000000	1.000000	0.000000
PXD008934	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000
PXD009630	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	NA	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD009815	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	NA	1.000000	1.000000	0.000000	NA	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
