pxd	characteristics[age]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[technical replicate]	factor value[disease]	factor value[experimental design]	technology type	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[sex]	characteristics[cell type]	comment[ms2 mass analyzer]	characteristics[biological replicate]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	comment[fraction identifier]	comment[dissociation method]	comment[label]	comment[instrument]	characteristics[organism]
PXD000534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	0.500000	1.000000	0.250000	0.000000	0.000000	1.000000
PXD000561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.066667	NA	0.000000	0.066667	1.000000	1.000000	0.000000	1.000000
PXD000651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	0.000000	0.033333	0.800000	0.000000	1.000000	1.000000
PXD000652	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	0.000000	0.000000	0.900000	0.000000	1.000000	1.000000
PXD001558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000
PXD001819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000
PXD002029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	NA	0.000000	0.260870	0.000000	1.000000	1.000000	1.000000
PXD002049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	NA	0.000000	0.066667	0.000000	0.000000	1.000000	1.000000
PXD002080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.033333	0.866667	0.000000	1.000000	1.000000
PXD002081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.066667	0.933333	0.000000	1.000000	1.000000
PXD002082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.033333	0.900000	0.000000	1.000000	1.000000
PXD002084	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.066667	0.900000	0.000000	1.000000	1.000000
PXD002086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.066667	0.866667	0.000000	1.000000	1.000000
PXD002087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.066667	0.966667	0.000000	1.000000	1.000000
PXD002088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	NA	0.000000	0.033333	0.933333	0.000000	1.000000	1.000000
PXD002395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.700000	0.000000	1.000000	0.200000	0.000000	0.000000	0.000000	0.233333	1.000000	1.000000	1.000000	1.000000
PXD002870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	NA	0.000000	0.066667	0.000000	0.000000	1.000000	1.000000
PXD003531	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.400000	1.000000	1.000000	1.000000	1.000000	1.000000
PXD003668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.266667	0.000000	0.066667	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000
