PXD	submission_date	organism	keywords	totalFileDownloads	pmcid	publication_title	number_raw_files	acquisition_type	Journal
PXD006847	10/5/2017	Homo sapiens (human)	Ultrasensitive; Proteomics; Nanopots	4828	PMC5830451	Nanodroplet processing platform for deep and quantitative proteome profiling of 10�100 mammalian cells	48	DDA	Nat Commun.
PXD063272	4/24/2025	Homo sapiens (human); Rattus norvegicus (rat)	Alpha-synuclein; Anti-amyloidogenic compounds; Lip-ms	37	PMC12065871	An approach to characterize mechanisms of action of anti-amyloidogenic compounds in vitro and in situ	366	DDA; DIA	NPJ Parkinsons Dis
PXD013543	4/17/2019	Rattus norvegicus (rat)	Q exactive; Shotgun proteomic; Rattus norvegicus; Nlc-ms/ms; Heart tissue	1538	PMC6888820	Landscape of heart proteome changes in a diet-induced obesity model	16	DDA	Sci Rep.
PXD034195	5/29/2022	Desulfuromonas acetexigens	Desulfuromonas acetexigens strain 2873; Extracellular electron transfer (eet)	98	PMC12133095	Independently evolved extracellular electron transfer pathways in ecologically diverse Desulfobacterota	20	Unknown	ISME J.
PXD015289	9/3/2019	Homo sapiens (human)	Extracellular vesicles; exosomes; separation; isolation; urine; cancer; biomarkers	12210	PMC7144211	Unravelling the proteomic landscape of extracellular vesicles in prostate cancer by density-based fractionation of urine	306	DDA	J Extracell Vesicles. 
PXD060381	1/30/2025	Homo sapiens (human)	Human; Mscs; Extracellular vesicles; Crispr	79	PMC11813855	CRISPR-dCas9 Activation of TSG-6 in MSCs Modulates the Cargo of MSC-Derived Extracellular Vesicles and Attenuates Inflammatory Responses in Human Intervertebral Disc Cells In Vitro	9	DIA	Cell Mol Bioeng.
PXD001856	3/2/2015	Homo sapiens (human)	Rna sequencing; Bone marrow; Human mesenchymal stem cells; Human embryonic stem cells; Quantitative proteomics; Aptamer-based somsscan assay; Lc-ms/ms	1349	PMC4746666	Comprehensive transcriptomic and proteomic characterization of human mesenchymal stem cells reveals source specific cellular markers	108	DDA	Sci Rep. 
PXD042574	5/31/2023	Homo sapiens (human)	Oral cance; Limited proteolysis; Saliva; Functional proteomics; Mass spectrometry; Structural proteomic; Protein post-translational modification; Prognosis	222	PMC11166140	Mapping Conformational Changes in the Saliva Proteome Potentially Associated with Oral Cancer Aggressiveness	39	DDA	J Proteome Res. 
PXD012439	1/21/2019	Riftia pachyptila; Candidatus endoriftia persephone	Mutualism; Metaproteomics; Deep sea; Hydrothermal vents; Holobiont; Mutualistic association	3361	PMC6918071	Host-Microbe Interactions in the Chemosynthetic Riftia pachyptila Symbiosis	55	Unknown	mBio.
PXD040722	3/9/2023	Mus musculus (mouse)	Proteome; Aging; Multi-omics	7926	PMC11445428	An atlas of the aging mouse proteome reveals the features of age-related post-transcriptional dysregulation	197	DDA	Nat Commun.
PXD029997	11/28/2021	Saccharomyces cerevisiae (baker's yeast)	Proteome-wide screening; Lc-ms/ms; S. cerevisiae; Lysine benzoylation; Non-histone	408	PMC8927147	Global profiling of regulatory elements in the histone benzoylation pathway	19	Unknown	Nat Commun.
PXD013809	4/27/2020	Homo sapiens (human)	Innate immunity; Protein correlation profiling; Proteomics; Protein complexes; Interferon stimulated gene; Interferon; Interactome	1109	PMC7294662	Dynamic rewiring of the human interactome by interferon signaling	24	DDA	Genome Biol.
PXD013775	5/8/2019	Homo sapiens (human)	Phospho peptide library; Pp2a; Pp1	1041	PMC7367873	Dissecting the sequence determinants for dephosphorylation by the catalytic subunits of phosphatases PP1 and PP2A	31	DDA	Nat Commun. 
PXD043392	6/29/2023	Saccharomyces cerevisiae (baker's yeast)	Mcm2-7; Fact?parental histone recycling	255	PMC10681723	The N-terminus of Spt16 anchors FACT to MCM2�7 for parental histone recycling	36	Unknown	Nucleic Acids Res.
PXD021383	9/10/2020	Dermatophagoides; Blomia tropicalis	Dust mites; Allergens; Skin prick	528	PMC7921882	Proteomic profiling of commercial dust mite skin prick test solutions and allergy vaccines from India?	19	Unknown	World Allergy Organ J.
PXD014762	7/25/2019	Homo sapiens (human)	Lung; Human; Laser-capture; Dissection; Spatial proteomics; Fixed	356	PMC7302139	Laser capture microdissection coupled mass spectrometry (LCM-MS) for spatially resolved analysis of formalin-fixed and stained human lung tissues	6	DDA	Clin Proteomics. 
PXD005982	2/27/2017	Oryza sativa (rice)	Acetylome; Post-translational modification; Rice (oryza sativa l.); Early seed development	397	PMC5535869	A Quantitative Acetylomic Analysis of Early Seed Development in Rice (Oryza sativa L.)	9	DDA	Int J Mol Sci.
PXD028781	9/27/2021	Toxoplasma gondii	Toxoplasma gondii; Mob1; Proximity biotinylation; Mitotic exit network; Hippo pathway; Bioid; Nanolc-ms/ms	308	PMC8698288	Characterization of a MOB1 Homolog in the Apicomplexan Parasite Toxoplasma gondii	6	DDA	Biology 
PXD036655	9/12/2022	Mus musculus (mouse)	Rna; Histone; Bmp-2; Proteomics	231	PMC10322916	Beta cell dysfunction induced by bone morphogenetic protein (BMP)-2 is associated with histone modifications and decreased NeuroD1 chromatin binding	13	DDA	Cell Death Dis.
PXD015272	9/2/2019	Homo sapiens (human)	Homo sapiens; Orbitrap fusion lumos	175	PMC6775327	Binding to medium and long chain fatty acyls is a common property of HEAT and ARM repeat modules	8	DDA	Sci Rep. 
