PXD,PMCID,PMID
PXD019394,PMC3035969,21183079
PXD000070,PMC4047622,24657495
PXD000999,PMC4223503,25100859
PXD001061,PMC4259010,25218447
PXD001468,PMC4515955,26076430
PXD002266,PMC4507021,26149123
PXD002619,PMC4725767,26725330
PXD004613,PMC5241828,28091603
PXD005554,PMC8078728,28675934
PXD005207,PMC5498596,28680058
PXD008440,PMC5898006,29681787
PXD010357,PMC6687710,31395880
PXD012986,PMC6944235,31699904
PXD014557,PMC6944231,31699905
PXD015833,PMC7116245,32284562
PXD015744,PMC7716908,32860207
PXD022741,PMC8210948,33630598
PXD018830,PMC8155562,33855848
PXD030403,PMC8860584,35037038
PXD026287,PMC8891334,35236848
PXD029966,PMC9592526,35236989
PXD031991,PMC7613034,35680998
PXD032098,PMC9507969,36097293
PXD040176,PMC10325924,37207340
PXD039898,PMC10275869,37328468
PXD036832,PMC10276868,37330510
PXD041681,PMC10486756,37681923
