accession,has_pmc,has_by,has_sdrf
PXD014174,False,False,False
PXD004588,True,True,False
PXD000033,True,False,False
PXD001357,True,True,False
PXD001364,True,False,False
PXD000035,False,False,False
PXD000030,False,False,False
PRD000828,False,False,False
PXD001370,True,False,False
PRD000821,False,False,False
PXD000031,False,False,False
PXD000027,False,False,False
PXD000045,True,False,False
PXD012008,True,True,False
PXD001377,False,False,False
PXD002691,True,True,False
PXD013354,False,False,False
PXD012023,True,True,False
PXD001361,True,True,False
PRD000820,False,False,False
PRD000826,False,False,False
PRD000822,False,False,False
PXD002693,False,False,False
PXD000036,True,False,False
PXD001362,True,True,False
PXD001359,True,True,False
PXD000026,False,False,False
PXD013339,True,True,False
PXD000046,False,False,False
PXD014688,True,False,False
PXD013338,True,True,False
PXD012006,True,False,False
PXD000029,False,False,False
PXD001375,False,False,False
PXD014667,True,True,False
PXD000044,False,False,False
PXD001360,True,True,False
PXD002690,True,True,False
PXD013353,False,False,False
PXD002692,True,False,False
PXD001378,False,False,False
PRD000825,False,False,False
PXD014680,True,False,False
PXD000047,True,False,False
PXD012017,True,False,False
PXD002694,True,True,False
PRD000833,False,False,False
PXD000041,False,False,False
PXD000028,False,False,False
PXD001376,True,True,False
PXD002688,True,False,False
PXD012007,True,False,False
PXD013357,False,False,False
PXD000043,False,False,False
PXD001373,False,False,False
PXD000042,False,False,False
PXD001371,True,True,False
PXD000038,True,True,False
PXD013341,False,False,False
PXD014673,False,False,False
PXD001369,True,True,False
PRD000804,False,False,False
PXD000039,False,False,False
PXD001368,True,True,False
PXD012013,False,False,False
PXD014675,True,False,False
PXD001372,False,False,False
PXD000050,False,False,False
PXD013346,False,False,False
PXD012014,False,False,False
PXD001374,True,True,False
PXD012011,False,False,False
PRD000803,False,False,False
PXD001381,False,False,False
PXD013369,False,False,False
PXD012038,True,True,False
PXD012039,True,True,False
PXD001389,True,False,False
PXD001387,False,False,False
PXD000058,False,False,False
PXD000052,False,False,False
PXD000055,False,False,False
PXD001386,True,True,False
PXD000051,False,False,False
PXD000056,False,False,False
PXD000054,False,False,False
PXD000053,False,False,False
PXD000049,True,False,False
PXD012040,True,True,False
PXD001383,True,True,False
PXD001384,False,False,False
PXD001385,False,False,False
PXD012046,False,False,False
PXD012045,True,True,False
PXD000048,True,True,False
PXD012047,True,True,False
PXD001379,False,False,False
PXD013379,False,False,False
PRD000809,False,False,False
PXD013373,True,False,False
PXD012042,False,False,False
PRD000808,True,True,False
PXD000061,True,False,False
PXD012043,True,False,False
PRD000813,False,False,False
PXD012027,True,True,False
PRD000810,True,True,False
PRD000807,False,False,False
PXD001399,False,False,False
PXD001390,False,False,False
PXD001397,False,False,False
PRD000815,False,False,False
PXD000063,False,False,False
PXD000066,False,False,False
PXD000065,False,False,False
PXD000067,False,False,False
PXD013366,False,False,False
PXD014697,True,False,False
PXD014693,False,False,False
PXD014690,True,False,False
PRD000812,False,False,False
PXD001392,False,False,False
PXD013362,True,True,False
PXD001398,False,False,False
PXD012031,True,True,False
PXD001393,True,False,False
PXD001396,False,False,False
PXD014696,True,False,False
PXD012037,True,True,False
PRD000814,False,False,False
PXD014692,True,True,False
PXD012034,True,True,False
PXD014699,True,False,False
PXD013358,True,True,False
PXD000064,True,False,False
PXD014698,True,False,False
PXD013368,True,True,False
PXD001391,False,False,False
PXD000069,True,True,False
PXD014695,False,False,False
PXD001395,False,False,False
PXD013367,False,False,False
PXD013363,False,False,False
