category,agentic_field,availability_fraction,availability_n,n_docs
biological,species,0.9259259259259259,25,27
biological,tissue,0.6666666666666666,18,27
biological,disease_state,0.5185185185185185,14,27
biological,cell_type,0.5185185185185185,14,27
biological,cell_line,0.3333333333333333,9,27
biological,sex,0.25925925925925924,7,27
biological,age,0.14814814814814814,4,27
technical,acquisition_method,0.6296296296296297,17,27
technical,instrument,1.0,27,27
technical,labeling,0.5185185185185185,14,27
technical,fragmentation_method,0.7777777777777778,21,27
technical,cleavage_agent,0.9629629629629629,26,27
technical,enrichment_method,0.4444444444444444,12,27
technical,reduction_reagent,0.7777777777777778,21,27
technical,alkylation_reagent,0.7777777777777778,21,27
technical,collision_energy,0.6666666666666666,18,27
technical,mass_analyzer,0.6296296296296297,17,27
technical,ptm,0.7777777777777778,21,27
experimental_design,number_of_biological_replicates,0.2962962962962963,8,27
experimental_design,number_of_technical_replicates,0.3333333333333333,9,27
experimental_design,number_of_fractions,0.5925925925925926,16,27
experimental_design,factor_value,0.8518518518518519,23,27
experimental_design,biological_replicate,0.2222222222222222,6,27
experimental_design,technical_replicate,0.1111111111111111,3,27
