pxd,in_pride_cache,experimentTypes_raw,projectTags_raw,experimentTypes_text,projectTags_text,experiment_or_tag_present
PXD001454,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000430', 'name': 'Chemical cross-linking coupled with mass spectrometry proteomics'}]",['Technical'],Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Technical,yes
PXD001805,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]","['Biological', 'Biomedical']",Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological | Biomedical,yes
PXD002030,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]","['Biomedical', 'Biological']",Shotgun proteomics (PRIDE:0000429),Biomedical | Biological,yes
PXD002120,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD002132,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429),Biomedical,yes
PXD002337,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD002548,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD003356,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429),Biomedical,yes
PXD003544,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}, {'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biomedical,yes
PXD003772,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429),Biomedical,yes
PXD004802,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD004983,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]","['Biological', 'Biomedical']",Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological | Biomedical,yes
PXD004997,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD005048,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biomedical'],Shotgun proteomics (PRIDE:0000429),Biomedical,yes
PXD005188,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]","['Biological', 'Biomedical']",Shotgun proteomics (PRIDE:0000429),Biological | Biomedical,yes
PXD005463,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD005628,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD006156,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biological'],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,yes
PXD006603,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD006738,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Technical'],Shotgun proteomics (PRIDE:0000429),Technical,yes
PXD006856,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD008108,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD008215,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000430', 'name': 'Chemical cross-linking coupled with mass spectrometry proteomics'}]",['Biological'],Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Biological,yes
PXD008245,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD008341,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]","['Kidney urine (b/d-hpp)', 'Biology/disease-driven human proteome project (b/d-hpp)', 'Biological']",Gel-based experiment (PRIDE:0000305),Kidney urine (b/d-hpp) | Biology/disease-driven human proteome project (b/d-hpp) | Biological,yes
PXD008842,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biological'],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,yes
PXD009266,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",['Biological'],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological,yes
PXD009281,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]","['Biological', 'Technical']",Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological | Technical,yes
PXD009298,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Technical'],Shotgun proteomics (PRIDE:0000429),Technical,yes
PXD009375,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD009584,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",['Biological'],Shotgun proteomics (PRIDE:0000429),Biological,yes
PXD009777,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000430', 'name': 'Chemical cross-linking coupled with mass spectrometry proteomics'}]",['Biological'],Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Biological,yes
PXD009864,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000427', 'name': 'Top-down proteomics'}]",['Biological'],Top-down proteomics (PRIDE:0000427),Biological,yes
