pxd,in_pride_cache,experimentTypes,projectTags,experimentTypes_projectTags_combined,experimentTypes_present,projectTags_present,experiment_or_tag_present
PXD001454,yes,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),Technical,Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430) || Technical,yes,yes,yes
PXD001805,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological | Biomedical,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological | Biomedical,yes,yes,yes
PXD002030,yes,Shotgun proteomics (PRIDE:0000429),Biomedical | Biological,Shotgun proteomics (PRIDE:0000429) || Biomedical | Biological,yes,yes,yes
PXD002120,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD002132,yes,Shotgun proteomics (PRIDE:0000429),Biomedical,Shotgun proteomics (PRIDE:0000429) || Biomedical,yes,yes,yes
PXD002337,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD002548,yes,Shotgun proteomics (PRIDE:0000429),,Shotgun proteomics (PRIDE:0000429),yes,no,yes
PXD003356,yes,Shotgun proteomics (PRIDE:0000429),Biomedical,Shotgun proteomics (PRIDE:0000429) || Biomedical,yes,yes,yes
PXD003544,yes,Shotgun proteomics (PRIDE:0000429) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biomedical,Shotgun proteomics (PRIDE:0000429) | Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biomedical,yes,yes,yes
PXD003772,yes,Shotgun proteomics (PRIDE:0000429),Biomedical,Shotgun proteomics (PRIDE:0000429) || Biomedical,yes,yes,yes
PXD004802,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD004983,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),Biological | Biomedical,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433) || Biological | Biomedical,yes,yes,yes
PXD004997,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
PXD005048,yes,Shotgun proteomics (PRIDE:0000429),Biomedical,Shotgun proteomics (PRIDE:0000429) || Biomedical,yes,yes,yes
PXD005188,yes,Shotgun proteomics (PRIDE:0000429),Biological | Biomedical,Shotgun proteomics (PRIDE:0000429) || Biological | Biomedical,yes,yes,yes
PXD005463,yes,Shotgun proteomics (PRIDE:0000429),Biological,Shotgun proteomics (PRIDE:0000429) || Biological,yes,yes,yes
