pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD001454,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos', 'value': ''}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD001805,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD002030,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD002120,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD002132,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD002337,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD002548,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001910', 'name': 'LTQ Orbitrap Elite'}]",LTQ Orbitrap Elite (MS:1001910),yes
PXD003356,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD003544,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD003772,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD004802,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD004983,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos', 'value': ''}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD004997,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD005048,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
PXD005188,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD005463,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive', 'value': ''}]",Q Exactive (MS:1001911),yes
PXD005628,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD006156,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001742', 'name': 'LTQ Orbitrap Velos'}]",LTQ Orbitrap Velos (MS:1001742),yes
