domain,category,value,fraction
acquisition_type,dda,4140.0,0.9666121877188887
acquisition_type,ambiguous,115.0,0.026850338547746905
acquisition_type,dia,27.0,0.006303992528601448
acquisition_type,unknown,9.0,0.002101330842867149
fragmentation_type,lr_it_cid,205.0,0.0478636469764184
fragmentation_type,multiple,101.0,0.023581601681064674
fragmentation_type,hr_hcd,3788.0,0.8844268036423067
fragmentation_type,hr_it_cid,41.0,0.00957272939528368
fragmentation_type,unknown,9.0,0.002101330842867149
fragmentation_type,lr_hcd,135.0,0.031519962643007236
fragmentation_type,hr_ethcd,7.0,0.001634368433341116
fragmentation_type,hr_etcid,5.0,0.0011674060238150829
fragmentation_tag,lr it cid,90.0,0.021013308428671492
fragmentation_tag,??,2561.0,0.5979453653980854
fragmentation_tag,hr hcd,1534.0,0.35816016810646745
fragmentation_tag,hr it cid,14.0,0.003268736866682232
fragmentation_tag,lr hcd,73.0,0.01704412794770021
fragmentation_tag,hr ethcd,10.0,0.0023348120476301658
fragmentation_tag,hr etcid,1.0,0.00023348120476301658
labeling,unknown,4000.0,0.9339248190520663
labeling,unavailable,9.0,0.002101330842867149
labeling,tmt10plex,38.0,0.00887228578099463
labeling,itraq4plex,3.0,0.0007004436142890498
labeling,tmt6plex,4.0,0.0009339248190520663
labeling,tmtpro,36.0,0.008405323371468596
labeling,tmt,1.0,0.00023348120476301658
high_accuracy_precursors,true,4254.0,0.9932290450618725
high_accuracy_precursors,multiple,21.0,0.004903105300023348
high_accuracy_precursors,unknown,16.0,0.0037356992762082653
has_water_loss,unknown,3512.0,0.8199859911277142
has_water_loss,unavailable,9.0,0.002101330842867149
has_water_loss,true,490.0,0.11440579033387813
has_water_loss,false,72.0,0.016810646742937193
ms_level_spectra,ms0,0.0,0.0
ms_level_spectra,ms1,43141007.0,0.18188445153886865
ms_level_spectra,ms2,193265655.0,0.8148168090043705
ms_level_spectra,ms3,0.0,0.0
ms_level_spectra,ms3+,782425.0,0.003298739456760926
precursor_charge,10,26234.0,0.0001357406208568201
precursor_charge,11,18024.0,9.32602329161899e-05
precursor_charge,12,14586.0,7.547124707698323e-05
precursor_charge,13,10953.0,5.667328734637305e-05
precursor_charge,2,96064779.0,0.4970607892023029
precursor_charge,3,64577158.0,0.33413675078481997
precursor_charge,4,16575798.0,0.08576690980091625
precursor_charge,5,4871802.0,0.025207800113268963
precursor_charge,6,1533361.0,0.007933954949212264
precursor_charge,7,392774.0,0.002032301083190389
precursor_charge,8,119280.0,0.0006171815680339064
precursor_charge,9,39859.0,0.00020623943762796342
precursor_charge,14,8081.0,4.181291290477866e-05
precursor_charge,unknown,7323257.0,0.037892180066861854
precursor_charge,16,3854.0,1.9941463474200836e-05
precursor_charge,18,3068.0,1.5874522558082035e-05
precursor_charge,19,2331.0,1.2061118671085144e-05
precursor_charge,25,3038.0,1.5719295805558416e-05
precursor_charge,15,5242.0,2.7123287890960245e-05
precursor_charge,1,1655955.0,0.008568283899174946
precursor_charge,21,1581.0,8.180449857994686e-06
precursor_charge,24,2499.0,1.2930388485217407e-05
precursor_charge,17,3474.0,1.7975257942235e-05
precursor_charge,20,1805.0,9.339476276837703e-06
precursor_charge,23,1906.0,9.862073010333884e-06
precursor_charge,22,1509.0,7.807905651938002e-06
precursor_charge,27,354.0,1.8316756797786964e-06
precursor_charge,28,370.0,1.9144632811246262e-06
precursor_charge,40,13.0,6.726492609356794e-08
precursor_charge,41,20.0,1.0348450168241222e-07
precursor_charge,42,16.0,8.278760134592977e-08
precursor_charge,47,49.0,2.5353702912190996e-07
precursor_charge,53,265.0,1.3711696472919619e-06
precursor_charge,56,153.0,7.916564378704535e-07
precursor_charge,57,115.0,5.950358846738703e-07
precursor_charge,29,51.0,2.6388547929015116e-07
precursor_charge,30,16.0,8.278760134592977e-08
precursor_charge,49,46.0,2.380143538695481e-07
precursor_charge,50,98.0,5.070740582438199e-07
precursor_charge,51,117.0,6.053843348421115e-07
precursor_charge,54,225.0,1.1642006439271374e-06
precursor_charge,55,535.0,2.768210420004527e-06
precursor_charge,26,59.0,3.0527927996311603e-07
precursor_charge,35,28.0,1.448783023553771e-07
precursor_charge,45,27.0,1.397040772712565e-07
precursor_charge,31,35.0,1.8109787794422138e-07
precursor_charge,32,20.0,1.0348450168241222e-07
precursor_charge,34,31.0,1.6040097760773894e-07
precursor_charge,36,52.0,2.6905970437427176e-07
precursor_charge,39,37.0,1.914463281124626e-07
precursor_charge,43,18.0,9.3136051514171e-08
precursor_charge,44,23.0,1.1900717693477405e-07
precursor_charge,48,59.0,3.0527927996311603e-07
precursor_charge,52,204.0,1.0555419171606047e-06
precursor_charge,58,71.0,3.673699809725634e-07
precursor_charge,59,63.0,3.259761802995985e-07
precursor_charge,37,57.0,2.949308297948748e-07
precursor_charge,33,22.0,1.1383295185065345e-07
precursor_charge,38,47.0,2.431885789536687e-07
precursor_charge,46,39.0,2.0179477828070384e-07
precursor_charge,60,111.0,5.743389843373878e-07
precursor_charge,1868701797,1.0,5.174225084120611e-09
isolation_window_full_width,3,6879956.0,0.03560459572570512
isolation_window_full_width,2,42442370.0,0.21964434445377196
isolation_window_full_width,1.9,148404.0,0.0007680084616932931
isolation_window_full_width,1,6999018.0,0.03622075582560894
isolation_window_full_width,4,4657664.0,0.0241039686512778
isolation_window_full_width,1.6,65012874.0,0.3364494039985438
isolation_window_full_width,26,81097.0,0.00041968668107288885
isolation_window_full_width,2.5,1441805.0,0.007461513437048183
isolation_window_full_width,2.2,244349.0,0.0012645353198451152
isolation_window_full_width,1.5,7199565.0,0.037258610553023326
isolation_window_full_width,0.7,8538211.0,0.04418626381851402
isolation_window_full_width,1.2,17743148.0,0.09182291448395212
isolation_window_full_width,2.1,1430674.0,0.0074039091798374064
isolation_window_full_width,1.8,3345166.0,0.01731163441530354
isolation_window_full_width,1.7,2245856.0,0.011622573594678396
isolation_window_full_width,0.4,191282.0,0.000989907243535326
isolation_window_full_width,1.4,14994775.0,0.07759975527066015
isolation_window_full_width,1.3,6190903.0,0.03203866398157997
isolation_window_full_width,0.9,132628.0,0.0006863657735469266
isolation_window_full_width,0.8,1494957.0,0.007736581398531174
isolation_window_full_width,0.6,144158.0,0.0007460349035119118
isolation_window_full_width,2.4,43815.0,0.00022674786898662866
isolation_window_full_width,21,6940.0,3.59153306120553e-05
isolation_window_full_width,22,3471.0,1.7962840425712382e-05
