source name	characteristics[organism]	characteristics[organism part]	characteristics[pregnancy status]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identifier]	technology type	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	factor value[pregnancy status]	comment[data file]	
Sample 1	Homo sapiens	serum	Non-pregnant	N-sialoglycopeptides	1	Run 1	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Non-pregnant	OVA10-1 inj 1
Sample 1	Homo sapiens	serum	Non-pregnant	N-sialoglycopeptides	1	Run 2	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Non-pregnant	OVA10-1 inj 2
Sample 2	Homo sapiens	serum	Non-pregnant	N-sialoglycopeptides	2	Run 3	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Non-pregnant	OVA10-2 inj 1
Sample 2	Homo sapiens	serum	Non-pregnant	N-sialoglycopeptides	2	Run 4	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Non-pregnant	OVA10-2 inj 2
Sample 3	Homo sapiens	serum	Non-pregnant	N-sialoglycopeptides	3	Run 5	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Non-pregnant	OVA10-3 inj 1
Sample 3	Homo sapiens	serum	Non-pregnant	N-sialoglycopeptides	3	Run 6	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Non-pregnant	OVA10-3 inj 2
Sample 4	Homo sapiens	serum	Term	N-sialoglycopeptides	1	Run 7	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-4 inj 1
Sample 4	Homo sapiens	serum	Term	N-sialoglycopeptides	1	Run 8	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-4 inj 2
Sample 5	Homo sapiens	serum	Term	N-sialoglycopeptides	2	Run 9	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-5 inj 1
Sample 5	Homo sapiens	serum	Term	N-sialoglycopeptides	2	Run 10	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-5 inj 2
Sample 6	Homo sapiens	serum	Term	N-sialoglycopeptides	3	Run 11	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-6 inj 1
Sample 6	Homo sapiens	serum	Term	N-sialoglycopeptides	3	Run 12	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-6 inj 2
Sample 7	Mus musculus	serum	Virgin	N-sialoglycopeptides	1	Run 13	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Virgin	OVA10-7 inj 1
Sample 7	Mus musculus	serum	Virgin	N-sialoglycopeptides	1	Run 14	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Virgin	OVA10-7 inj 2
Sample 8	Mus musculus	serum	Virgin	N-sialoglycopeptides	2	Run 15	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Virgin	OVA10-8 inj 1
Sample 8	Mus musculus	serum	Virgin	N-sialoglycopeptides	2	Run 16	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Virgin	OVA10-8 inj 2
Sample 9	Mus musculus	serum	Virgin	N-sialoglycopeptides	3	Run 17	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Virgin	OVA10-9 inj 1
Sample 9	Mus musculus	serum	Virgin	N-sialoglycopeptides	3	Run 18	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Virgin	OVA10-9 inj 2
Sample 10	Mus musculus	serum	Term	N-sialoglycopeptides	1	Run 19	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-10 inj 1
Sample 10	Mus musculus	serum	Term	N-sialoglycopeptides	1	Run 20	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-10 inj 2
Sample 11	Mus musculus	serum	Term	N-sialoglycopeptides	2	Run 21	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-11 inj 1
Sample 11	Mus musculus	serum	Term	N-sialoglycopeptides	2	Run 22	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-11 inj 2
Sample 12	Mus musculus	serum	Term	N-sialoglycopeptides	3	Run 23	1	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-12 inj 1
Sample 12	Mus musculus	serum	Term	N-sialoglycopeptides	3	Run 24	2	1	proteomic profiling by mass spectrometry	NT=label free sample	TripleTOF 6600	CID	NT=Trypsin	AC=MS:1001251	Term	OVA10-12 inj 2
