species	search	file																					
Acanthamoeba castellanii	Acantha_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_04_03_HCD_Acanthamoeba.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_04_04_CID_Acanthamoeba.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	Z:\data\orbitrap_fusion\Raw\1507\ASIR\150625_S_ASIR_01_02_Acanth1_CID_Fusion.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	Z:\data\orbitrap_fusion\Raw\1507\ASIR\150625_S_ASIR_01_03_Acanth1_HCD_Fusion.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150625_S_ASIR_01_01_Acanth_1_PIC_CID.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150625_S_ASIR_01_02_Acanth_1_PIC_HCD.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_04_01_Acantha1_CID.raw																					
Acanthamoeba castellanii	Acantha_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_04_01_Acantha1_HCD.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_01_04_CID_Bigelowiella.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_01_03_HCD_Bigelowiella.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_20_01_Bige2_CID.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_20_01_Bige2_HCD.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_19_01_Bige1_CID.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_19_01_Bige1_HCD.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_01_01_Bigello_CID.raw																					
Bigelowiela natans	Bigello_SECOND_v2.1.pdResult	A:\cchiva\Projects\Histones_Arnau\All_results\raw files\Lumos\150527_S_ASIR_01_01_Bigello_HCD.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1504\ASIR\150218_S_ASIR_14_01_Capsa2.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150512_S_ASIR_01_01_Capsa1_PIC_I_prec.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150512_S_ASIR_01_02_Capsa1_PIC_I_prec.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150512_S_ASIR_01_03_Capsa1_PIC_I_prec_CID.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150512_S_ASIR_02_02_Capsa1_PIC_II_CID.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150512_S_ASIR_02_03_Capsa1_PIC_II.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	Z:\data\orbitrap_velos\Raw\1506\ASIR\150512_S_ASIR_02_04_Capsa1_PIC_II_CID.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	B:\data\orbitrap_fusion\Raw\1510\ASIR\150508_S_ASIR_01_01_Capsa1_HCD.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	B:\data\orbitrap_fusion\Raw\1510\ASIR\150508_S_ASIR_01_02_Capsa1_CID.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	B:\data\orbitrap_fusion\Raw\1510\ASIR\150508_S_ASIR_02_01_Capsa1_HCD.raw																					
Capsaspora owczarzaki	Capsa_all.pdResult	B:\data\orbitrap_fusion\Raw\1510\ASIR\150508_S_ASIR_02_02_Capsa1_CID.raw																					
Chlamydomonas reinhardtii	161220_ASIR_07_Chlamydomonas_SECOND.pdResult	A:\data\orbitrap_fusion\Raw\1703\ASIR\161220_S_ASIR_07_01_2ug_CID_IT.raw																					
Chlamydomonas reinhardtii	161220_ASIR_07_Chlamydomonas_SECOND.pdResult	A:\data\orbitrap_fusion\Raw\1703\ASIR\161220_S_ASIR_07_01_2ug_HCD_IT.raw																					
Corallochytrium limacisporum	Corallo_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_30_03_HCD_Corallochytrium.raw																					
Corallochytrium limacisporum	Corallo_all.pdResult	B:\data\orbitrap_fusion\Raw\1601\ASIR\150527_S_ASIR_30_04_CID_Corallochytrium.raw																					
Corallochytrium limacisporum	Corallo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_30_01_Corallo1_CID.raw																					
Corallochytrium limacisporum	Corallo_all.pdResult	C:\cchiva\ASIR\data\150527_S_ASIR_30_01_Corallo1_HCD.raw																					
