source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cultured cell]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[instrument]	comment[cleavage agent details]
CONTROL_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	mtPrA	4	not applicable	Label free	OF_20210531_OEF_06.RAW	Orbitrap Fusion	NT=Trypsin
MRPS63_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	4	not applicable	Label free	OF_20210531_OEF_03.RAW	Orbitrap Fusion	NT=Trypsin
MRPS49_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	4	not applicable	Label free	OF_20210531_OEF_01.RAW	Orbitrap Fusion	NT=Trypsin
MRPL46_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	4	not applicable	Label free	OF_20210531_OEF_04.RAW	Orbitrap Fusion	NT=Trypsin
MRPL76_4	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	4	not applicable	Label free	OF_20210531_OEF_05.RAW	Orbitrap Fusion	NT=Trypsin
MRPS49_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS49-PrA	1	not applicable	Label free	OF_20210714_OEF_01_2.RAW	Orbitrap Fusion	NT=Trypsin
MRPS49_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS49-PrA	2	not applicable	Label free	OF_20210714_OEF_02_2.RAW	Orbitrap Fusion	NT=Trypsin
MRPS49_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS49-PrA	3	not applicable	Label free	OF_20210714_OEF_03.RAW	Orbitrap Fusion	NT=Trypsin
MRPS63_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	1	not applicable	Label free	OF_20210717_OEF_04.RAW	Orbitrap Fusion	NT=Trypsin
MRPS63_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	2	not applicable	Label free	OF_20210717_OEF_05.RAW	Orbitrap Fusion	NT=Trypsin
MRPS63_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPS63-PrA	3	not applicable	Label free	OF_20210717_OEF_06.RAW	Orbitrap Fusion	NT=Trypsin
MRPL46_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL46-PrA	1	not applicable	Label free	OF_20210717_OEF_07.RAW	Orbitrap Fusion	NT=Trypsin
MRPL46_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL46-PrA	2	not applicable	Label free	OF_20210717_OEF_08.RAW	Orbitrap Fusion	NT=Trypsin
MRPL46_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL46-PrA	3	not applicable	Label free	OF_20210717_OEF_09.RAW	Orbitrap Fusion	NT=Trypsin
MRPL76_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	1	not applicable	Label free	OF_20210716_OEF_10.RAW	Orbitrap Fusion	NT=Trypsin
MRPL76_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	2	not applicable	Label free	OF_20210716_OEF_11.RAW	Orbitrap Fusion	NT=Trypsin
MRPL76_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	MRPL76-PrA	3	not applicable	Label free	OF_20210716_OEF_12.RAW	Orbitrap Fusion	NT=Trypsin
CONTROL_1	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	mtPrA	1	not applicable	Label free	OF_20210716_OEF_01.RAW	Orbitrap Fusion	NT=Trypsin
CONTROL_2	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	mtPrA	2	not applicable	Label free	OF_20210716_OEF_02.RAW	Orbitrap Fusion	NT=Trypsin
CONTROL_3	Diplonema papillatum	Mitochondrial mitoribosomes	Diplonema papillatum	Diplonema papillatum	not applicable	0	mtPrA	3	not applicable	Label free	OF_20210716_OEF_03.RAW	Orbitrap Fusion	NT=Trypsin
