paper_id,source,mode,total_extracted,judge_n_correct,judge_n_hallucinated,judge_accuracy,judge_accuracy_adjusted,mean_unanimous_rate,mean_unanimous_category_rate
PXD001856,hamlet_harmonized,inference,27,25,0,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.8888888888888888
PXD001856,hamlet_harmonized,strict,27,25,0,0.9259259259259259,0.9259259259259259,0.9629629629629629,0.9259259259259259
PXD001856,hamlet_raw,inference,26,26,0,1.0,1.0,0.9615384615384616,0.9615384615384616
PXD001856,hamlet_raw,strict,26,26,0,1.0,1.0,0.9615384615384616,0.9615384615384616
PXD001856,human_annotation,inference,27,22,0,0.8148148148148148,0.8148148148148148,0.9629629629629629,0.9629629629629629
PXD001856,human_annotation,strict,27,22,0,0.8148148148148148,0.8148148148148148,1.0,1.0
PXD002619,hamlet_harmonized,inference,24,19,0,0.7916666666666666,0.7916666666666666,0.9583333333333334,0.9583333333333334
PXD002619,hamlet_harmonized,strict,24,19,0,0.7916666666666666,0.7916666666666666,1.0,0.9166666666666666
PXD002619,hamlet_raw,inference,23,22,0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
PXD002619,hamlet_raw,strict,23,22,0,0.9565217391304348,0.9565217391304348,1.0,1.0
PXD002619,human_annotation,inference,19,12,4,0.631578947368421,0.631578947368421,0.9473684210526315,0.8947368421052632
PXD002619,human_annotation,strict,19,12,5,0.631578947368421,0.631578947368421,1.0,0.8947368421052632
PXD005982,hamlet_harmonized,inference,20,19,0,0.95,0.95,0.95,0.9
PXD005982,hamlet_harmonized,strict,20,19,0,0.95,0.95,0.95,0.95
PXD005982,hamlet_raw,inference,20,19,0,0.95,0.95,0.95,0.9
PXD005982,hamlet_raw,strict,20,19,0,0.95,0.95,0.95,0.95
PXD005982,human_annotation,inference,27,23,1,0.8518518518518519,0.8518518518518519,1.0,0.9629629629629629
PXD005982,human_annotation,strict,27,22,2,0.8148148148148148,0.8148148148148148,1.0,1.0
PXD006847,hamlet_harmonized,inference,24,21,2,0.875,0.875,0.9583333333333334,0.8333333333333334
PXD006847,hamlet_harmonized,strict,24,21,2,0.875,0.875,0.9166666666666666,0.9583333333333334
PXD006847,hamlet_raw,inference,23,21,2,0.9130434782608695,0.9130434782608695,0.9565217391304348,0.8260869565217391
PXD006847,hamlet_raw,strict,23,21,2,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
PXD006847,human_annotation,inference,25,19,0,0.76,0.76,1.0,0.92
PXD006847,human_annotation,strict,25,19,0,0.76,0.76,1.0,0.96
PXD012439,hamlet_harmonized,inference,19,11,1,0.5789473684210527,0.5789473684210527,0.9473684210526315,0.8947368421052632
PXD012439,hamlet_harmonized,strict,19,11,1,0.5789473684210527,0.5789473684210527,1.0,1.0
PXD012439,hamlet_raw,inference,15,13,1,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8666666666666667
PXD012439,hamlet_raw,strict,15,13,1,0.8666666666666667,0.8666666666666667,1.0,1.0
PXD012439,human_annotation,inference,15,10,0,0.6666666666666666,0.6666666666666666,1.0,1.0
PXD012439,human_annotation,strict,15,10,0,0.6666666666666666,0.6666666666666666,1.0,1.0
PXD013543,hamlet_harmonized,inference,22,20,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8636363636363636
PXD013543,hamlet_harmonized,strict,22,20,0,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.8636363636363636
PXD013543,hamlet_raw,inference,22,20,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8636363636363636
PXD013543,hamlet_raw,strict,22,20,0,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.8636363636363636
PXD013543,human_annotation,inference,18,16,1,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8333333333333334
PXD013543,human_annotation,strict,18,15,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
PXD013809,hamlet_harmonized,inference,26,19,2,0.7307692307692307,0.7307692307692307,0.9230769230769231,0.8846153846153846
PXD013809,hamlet_harmonized,strict,26,19,2,0.7307692307692307,0.7307692307692307,0.9615384615384616,0.9230769230769231
PXD013809,hamlet_raw,inference,25,21,2,0.84,0.84,0.92,0.88
PXD013809,hamlet_raw,strict,25,21,2,0.84,0.84,0.96,0.92
PXD013809,human_annotation,inference,22,20,1,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.8636363636363636
PXD013809,human_annotation,strict,22,20,1,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.8181818181818182
PXD014762,hamlet_harmonized,inference,22,18,1,0.8181818181818182,0.8181818181818182,1.0,0.8181818181818182
PXD014762,hamlet_harmonized,strict,22,18,1,0.8181818181818182,0.8181818181818182,1.0,0.9090909090909091
PXD014762,hamlet_raw,inference,21,20,1,0.9523809523809523,0.9523809523809523,1.0,0.7619047619047619
PXD014762,hamlet_raw,strict,21,20,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8571428571428571
PXD014762,human_annotation,inference,18,11,1,0.6111111111111112,0.6111111111111112,0.8888888888888888,0.8333333333333334
PXD014762,human_annotation,strict,18,11,1,0.6111111111111112,0.6111111111111112,0.9444444444444444,0.7777777777777778
PXD015272,hamlet_harmonized,inference,23,22,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
PXD015272,hamlet_harmonized,strict,23,22,1,0.9565217391304348,0.9565217391304348,1.0,0.9565217391304348
PXD015272,hamlet_raw,inference,23,22,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
PXD015272,hamlet_raw,strict,23,22,1,0.9565217391304348,0.9565217391304348,1.0,0.9565217391304348
PXD015272,human_annotation,inference,14,6,4,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.7857142857142857
PXD015272,human_annotation,strict,14,5,3,0.35714285714285715,0.35714285714285715,1.0,1.0
PXD015289,hamlet_harmonized,inference,26,20,0,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.7692307692307693
PXD015289,hamlet_harmonized,strict,26,22,0,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.8846153846153846
PXD015289,hamlet_raw,inference,25,22,0,0.88,0.88,0.88,0.8
PXD015289,hamlet_raw,strict,25,23,0,0.92,0.92,0.88,0.84
PXD015289,human_annotation,inference,28,21,2,0.75,0.75,0.8571428571428571,0.75
PXD015289,human_annotation,strict,28,22,2,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.9285714285714286
PXD018830,hamlet_harmonized,inference,27,21,0,0.7777777777777778,0.7777777777777778,1.0,0.9259259259259259
PXD018830,hamlet_harmonized,strict,27,20,1,0.7407407407407407,0.7407407407407407,0.9629629629629629,0.8518518518518519
PXD018830,hamlet_raw,inference,26,23,0,0.8846153846153846,0.8846153846153846,0.9615384615384616,0.9615384615384616
PXD018830,hamlet_raw,strict,26,22,1,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9230769230769231
PXD018830,human_annotation,inference,38,17,19,0.4473684210526316,0.4473684210526316,0.8947368421052632,0.868421052631579
PXD018830,human_annotation,strict,38,15,19,0.39473684210526316,0.39473684210526316,0.9210526315789473,0.9473684210526315
PXD019394,hamlet_harmonized,inference,22,18,1,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.8636363636363636
PXD019394,hamlet_harmonized,strict,22,18,1,0.8181818181818182,0.8181818181818182,0.9545454545454546,0.9090909090909091
PXD019394,hamlet_raw,inference,21,20,1,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.8571428571428571
PXD019394,hamlet_raw,strict,21,20,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
PXD019394,human_annotation,inference,87,31,44,0.3563218390804598,0.3563218390804598,0.9885057471264368,0.9540229885057471
PXD019394,human_annotation,strict,87,31,44,0.3563218390804598,0.3563218390804598,0.9885057471264368,0.9770114942528736
PXD021383,hamlet_harmonized,inference,21,12,2,0.5714285714285714,0.5714285714285714,0.9047619047619048,0.7619047619047619
PXD021383,hamlet_harmonized,strict,21,11,3,0.5238095238095238,0.5238095238095238,0.9523809523809523,0.8095238095238095
PXD021383,hamlet_raw,inference,20,14,2,0.7,0.7,0.9,0.85
PXD021383,hamlet_raw,strict,20,13,3,0.65,0.65,0.95,0.9
PXD021383,human_annotation,inference,15,13,0,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333
PXD021383,human_annotation,strict,15,13,0,0.8666666666666667,0.8666666666666667,1.0,1.0
PXD022741,hamlet_harmonized,inference,23,19,0,0.8260869565217391,0.8260869565217391,0.9130434782608695,0.8260869565217391
