"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD060381","hamlet_raw","strict","Biological","cell_line","cell_line","ASC52telo","True"
"PXD060381","hamlet_raw","strict","Biological","cell_type","cell_type","mesenchymal stem cell","True"
"PXD060381","hamlet_raw","strict","Biological","disease","disease","normal","True"
"PXD060381","hamlet_raw","strict","Biological","organ","organ","adipose","True"
"PXD060381","hamlet_raw","strict","Biological","species","species","Homo sapiens","True"
"PXD060381","hamlet_raw","strict","ExperimentalDesign","factor_value","factor_value","TSG-6 activated vs control","True"
"PXD060381","hamlet_raw","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD060381","hamlet_raw","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD060381","hamlet_raw","strict","Other","collision_energy","collision_energy","25%","True"
"PXD060381","hamlet_raw","strict","Other","developmental_stage","developmental_stage","adult","True"
"PXD060381","hamlet_raw","strict","Other","experimental_design","experimental_design","treated vs control","True"
"PXD060381","hamlet_raw","strict","Other","material_type","material_type","cell line | cell culture","True"
"PXD060381","hamlet_raw","strict","Other","number_of_samples","number_of_samples","9","True"
"PXD060381","hamlet_raw","strict","Other","ptm","ptm","Ox(M)","True"
"PXD060381","hamlet_raw","strict","Technical","acquisition_method","acquisition_method","DIA","True"
"PXD060381","hamlet_raw","strict","Technical","alkylation_reagent","alkylation_reagent","iodoacetamide","True"
"PXD060381","hamlet_raw","strict","Technical","cleavage_agent","cleavage_agent","trypsin","True"
"PXD060381","hamlet_raw","strict","Technical","fragmentation","fragmentation","HCD","True"
"PXD060381","hamlet_raw","strict","Technical","instrument","instrument","Orbitrap Astral","True"
"PXD060381","hamlet_raw","strict","Technical","label","label","label-free","True"
"PXD060381","hamlet_raw","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD060381","hamlet_raw","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
