"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD060381","human_annotation","strict","Biological","cell_line","cell_line","ASC52telo","True"
"PXD060381","human_annotation","strict","Biological","cell_type","cell_type","mesenchymal stem cells","True"
"PXD060381","human_annotation","strict","Biological","disease","disease","degenerative disc disease | IL-1β pre-stimulation","True"
"PXD060381","human_annotation","strict","Biological","species","species","9606 (Homo sapiens)","True"
"PXD060381","human_annotation","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD060381","human_annotation","strict","Other","collision_energy","collision_energy","25%","True"
"PXD060381","human_annotation","strict","Other","material_type","material_type","cell line | extracellular vesicles | MSC-derived extracellular vesicles","True"
"PXD060381","human_annotation","strict","Other","number_of_samples","number_of_samples","9","True"
"PXD060381","human_annotation","strict","Technical","acquisition_method","acquisition_method","DIA","True"
"PXD060381","human_annotation","strict","Technical","cleavage_agent","cleavage_agent","trypsin","True"
"PXD060381","human_annotation","strict","Technical","fragmentation","fragmentation","HCD","True"
"PXD060381","human_annotation","strict","Technical","instrument","instrument","Orbitrap Astral mass spectrometer","True"
