"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD008215","","strict","Biological","species","species","Homo sapiens","True"
"PXD008215","","strict","ExperimentalDesign","factor_value","factor_value","protein variant (MCAK, MCAKS6E)","True"
"PXD008215","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD008215","","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD008215","","strict","ExperimentalDesign","technical_replicates","technical_replicates","2","True"
"PXD008215","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD008215","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD008215","","strict","Technical","fragmentation","fragmentation","collision-induced dissociation","True"
"PXD008215","","strict","Technical","instrument","instrument","LTQ Orbitrap Velos, Orbitrap Fusion Lumos","True"
"PXD008215","","strict","Technical","label","label","label free","True"
"PXD008215","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD008215","","strict","Technical","modification","modification","Carbamidomethyl (C) | Oxidation (M) | Deamidation (NQ)","True"
