source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008440-Sample-1	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_10ter_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-2	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_12bis_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-3	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_13bis_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-4	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_17_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-5	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_18ter_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-6	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_19_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-7	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_21_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-8	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_21ter_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-9	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26A_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-10	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26B_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-11	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_26B_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-12	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_27_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-13	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_27ter_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-14	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_27ter_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-15	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_27ter_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-16	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_28qua_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
