source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008840-Sample-1	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC028N_DGC_83300_E000756_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-2	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC038N_DGC_83427_E000886_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-3	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC038T_DGC_83426_E000885_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-4	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC039T_DGC_83436_E000887_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-5	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC044N_DGC_83574_E001173_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-6	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC050N_DGC_83631_E001041_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-7	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC052T_DGC_83632_E001042_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-8	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC056T_DGC_83811_E001184_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-9	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC062N_DGC_83854_E001193_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-10	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC065N_DGC_83872_E001199_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-11	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC065T_DGC_83871_E001198_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
