source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010603-Sample-1	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171002_JMM_A146_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-2	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171002_JMM_A146_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-3	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171002_JMM_A146_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-4	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171002_JMM_C146_5.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-5	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171002_JMM_CN146_1.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-6	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171002_JMM_EC146_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-7	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171017_JMM_IPL146_10.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-8	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171017_JMM_IPL146_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-9	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171017_JMM_IPL146_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-10	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171017_JMM_IPL146_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
