"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD011153","Biological","age","age","30 days","True"
"PXD011153","Biological","cell_type","cell_type","spleen cells","True"
"PXD011153","Biological","disease","disease","schistosomiasis, healthy","True"
"PXD011153","Biological","organ","organ","spleen","True"
"PXD011153","Biological","sex","sex","female","True"
"PXD011153","Biological","species","species","mus musculus","True"
"PXD011153","ExperimentalDesign","factor_value","factor_value","infection status (Infected, Control) | schistosomiasis, healthy","True"
"PXD011153","ExperimentalDesign","fractions","fractions","1","True"
"PXD011153","ExperimentalDesign","replicates","replicates","6","True"
"PXD011153","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD011153","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD011153","Technical","fragment_mass_tolerance","fragment_mass_tolerance","7 ppm","True"
"PXD011153","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD011153","Technical","instrument","instrument","Q Exactive","True"
"PXD011153","Technical","label","label","label free","True"
"PXD011153","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD011153","Technical","precursor_mass_tolerance","precursor_mass_tolerance","7 ppm","True"
