source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013753-Sample-1	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-1.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-2	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-10.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-3	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-4	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-5	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-13.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-6	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-14.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-7	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-15.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-8	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-16.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-9	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-17.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-10	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-18.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-11	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-19.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-12	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-13	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-20.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-14	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-3.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
PXD013753-Sample-15	homo sapiens	brain, superior temporal gyrus, primary visual cortex	alzheimer’s disease, normal	synaptoneurosome	33	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Q Exactive HF	not available	20	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease status (AD, control), APOE genotype (3/3, 3/4), brain region (BA41/42, BA17)	6 ppm	8 ppm	orbitrap	TW-4.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, normal
