source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014528-Sample-1	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-2	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-3	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-4	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-5	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-6	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-7	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-8	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-9	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-10	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-11	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_1A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-12	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-13	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-14	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_2B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-15	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_2C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-16	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-17	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-18	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_5A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-19	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-20	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-21	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-22	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_1B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-23	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_2A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-24	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_2B.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-25	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_3A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-26	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_3C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-27	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_4A.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD014528-Sample-28	mus musculus	not available	not available	embryonic stem cells	E14Tg2a	not available	1	not available	not available	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q Exactive	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	6 ppm	14 ppm	orbitrap	20150105_Q1_SA_YaAt_ESC_proteome_4C.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
